Title,Type,Geography,Geography ISO,Frameworks,Responses,Instruments,Document Types,Natural Hazards,Keywords,Sectors,Events,Documents,Parent Legislation,Description
National Renewable Energy Policy (ANREP),executive,Afghanistan,AFG,"","Adaptation, Mitigation",Knowledge sharing and dissemination|Capacity-building;Designing processes|Governance and planning;Developing plans and strategies|Governance and planning;Multi-level governance|Governance and planning;International cooperation|Governance and planning;Capacity-building - general|Capacity-building,Policy,"","Renewables, Energy",Energy,01/01/2015|Approved||,Full text (PDF)|https://policy.asiapacificenergy.org/sites/default/files/Afghanistan-Renewable-Energy-Policy-English-and-Dari.pdf|,,"<div>The National Renewable Energy Policy (ANREP) aims to mainstream renewable energy in the national energy sector planning to deploy them in different capacities and through different projects in the country. The policy aims to provide a direction to the renewable energy (REN) sector. The Policy is aligned to the Power Sector Master Plan (PSMP) and the Afghanistan National Development Strategy (ANDS) to set a framework for deployment of REN and it connects with the Rural Renewable Energy Policy (RREP) to ensure an implementation of the policy guidelines in the rural energy sector.&nbsp;<br><br>The Policy sets the following target : to deploy 350-450 MW of REN capacity by 2032, which is equivalent of 10% of the total energy mix of 3500-4500 MW as per the targets of PSMP. To achieve the target, the policy promote the involvement of the private sector, government and non-government organisations and donors.<br><br>The Policy will be implemented in two terms : TERM 1 (2015- 2020) will create the activities for the development of REN sector particularly in the PPP mode; TERM 2 (2021-2032) will deploy REN in full commercialization mode.&nbsp;</div>"
Afghanistan National Peace and Development Framework (ANPDF) 2017-2021,executive,Afghanistan,AFG,"","Adaptation, Disaster Risk Management, Mitigation",Taxes|Incentives;Multi-level governance|Governance and planning;Capacity-building - general|Capacity-building,Framework,Flood,"Health, Taxes, Energy, Forest","Agriculture, Economy-wide, Energy, Health, Waste, Water",01/01/2017|Approved||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc29NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--48d0073268aa0e33ef0772fc9d931cc218dd5fbf/ANPDFEnglishWebsite.pdf|en,,"<div>The Afghanistan National Peace and Development Framework (ANPDF) is a five-year strategic plan for achieving self-reliance. The Framework presents a long-term development&nbsp; for Afghanistan by providing consistent high-level guidance to government and stakeholders. It articulates immediate and long term development priorities, highlights key reforms and outlines priority investments needed to achieve development goals.<br><br>It sets the economic, political and security context to ensure the development of agriculture, extractive industries and trade.&nbsp;<br><br>The Framework establishes measures to mitigate the effects of climate change, notably in the energy sector but also by expanding agroforestry and reforestation to support environmental conservation and income generation for farmers. It also creates strategies to mitigate the adverse effects of climate change across the trans-Himalayan region.</div>"
The Law On Regulating Forest Affairs 2011,legislative,Afghanistan,AFG,"","Adaptation, Mitigation",Designing processes|Governance and planning;Developing plans and strategies|Governance and planning;Capacity-building - general|Capacity-building,"Law, Act","Erosion, Floods, Desertification, Biodiversity Loss, Changes In Surface Water",Forest,LULUCF,23/11/2011|Passed||,Full text (WORD)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUlNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--062de537cedc767a8343681117ccd31c4046a337/2011%20Forest%20Law_23.09.2011_V.0.1.SE.doc|en,,"<div>The Law on Regulating Forest Affairs aims to ensure a sustainable management and regulation of forest resources.&nbsp;<br><br>The law objectives are the following; 1) sustaining and promoting to the maximum the production level from the forests and keeping a balance between the growth and exploitation; 2) bringing appropriate changes to the climate and beautification of the surroundings; 3) preventing the pollution of the environment, 4) restraining the velocity of winds and thus preventing their undesired impacts; 5) protecting the lakes, reservoirs and dams from being inundated with sand and soil, 6) preventing the wind and water erosion of the soil, etc.</div>"
Legislative Decree on the Endorsement of the Power Services Regulation Act,legislative,Afghanistan,AFG,"",Mitigation,Designing processes|Governance and planning;Capacity-building - general|Capacity-building,Decree Law,"","Renewables, Electricity, Energy",Energy,01/01/2015|Approved||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdU1NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--80f5d44dff08ae5398d725ae74c2902d3397bcbb/2015%20Electricity%20Law.pdf|en,,"<div>The objectives of the legislative decree are : 1) to supply electrical energy from natural resources of the country and imported energy; 2) to improve the quantity and quality of energy services; 3) economic growth and development as well as public welfare; 4) public access to the electricity energy services in exchange fo a fair price; 5) non-discriminatory access of the electricity energy service providers to the market; 6) regulation of electricity related affairs throughout the country.&nbsp;<br><br>In the context of theLaw, the Energy Services Regulation Authority is referred to the 'Authority' and the law sets its responsibilities.&nbsp;</div>"
National Strategy of Energy,executive,Albania,ALB,"",Mitigation,Developing plans and strategies|Governance and planning;Capacity-building - general|Capacity-building,Strategy,"",Energy Supply,Energy,25/12/2003|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4a0b174f8d489b467b3ab499a0a9385f8d4357b8/f|,,"This document sets Albania's energy strategy and an action plan. It seeks to provide the country with an sufficient and adequate energy supply.

The strategy notably seeks to reduce the environmental impacts of the energy sector, including greenhouse gases emissions. Solar, wind, biomass and small hydro are resources that should be exploited in priority."
Law 138/2013 on renewable sources of energy,legislative,Albania,ALB,"",Mitigation,Designing processes|Governance and planning;Designing processes|Governance and planning,Law,"",Energy Supply,Energy,25/12/2013|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEVGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ccfd96271e59bc4986a2b70608a83b9230e3c3fb/f|,,"This law aims at fostering the development of renewable energy sources through economic and regulatory incentives. It promotes innovation and new technologies for the production of electricity and heat from renewable energy sources. It seeks to reduce imports of organic fuels and reduce greenhouse gases emissions.
<div class=""page"" title=""Page 1"">
<div class=""layoutArea"">
<div class=""column"">

The law also transposes Directive 2009/28/EC. It was repealed by law 7/2017.

</div>
</div>
</div>"
Law 7/2017 promoting the use of energy from renewable resources,legislative,Albania,ALB,"",Mitigation,Developing plans and strategies|Governance and planning;International cooperation|Governance and planning; Monitoring and evaluation|Governance and planning,Law,"","Energy Supply, Energy Demand",Energy,20/02/2017|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczRGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c292275535282c4b2623b245fd948dd2e50bb302/f|,,"This law notably aims to increase the use of energy from renewable sources, to reduce imports of fossil fuels and related greenhouse gas emissions, and to promote the development of the renewable electricity market and its regional integration. It further seeks to improve the supply of rural and isolated areas.

The document establishes 1) the legislative framework for the promotion of use of energy produced from renewable sources, 2) the binding national objectives for the contribution of energy from renewable energy sources in gross final energy consumption, 3) the rules for supporting the energy produced from renewable sources, 4) the obligation for transparency of information, 5) rules for access and operation of the grids for renewable energy sources and connection to the electric energy grid, and 6) the rules for issuing, transferring and cancelation of Guarantees of Origin for the energy produced from renewable sources.

This law replaces law 138/2013."
Regulatory Order fixing the guaranteed purchase price and the conditions of their application for electricity generated from facilities using photovoltaic segment,executive,Algeria,DZA,"",Mitigation,"",Decree/Order/Ordinance,"",Energy Supply,Energy,02/02/2014|Law passed,,,"Establishes a variable 20-year Solar PV feed-in-tariff (FIT) for ground-mounted solar installations greater than 1MW.<br />
<br />
Fixes the FIT for 1MW to 5MW installations at 15.94 DZD per kWh for the first 5 years and between 20.08 DZD per kWh to 11.80 DZD per kWh for the following 15 years. For installations larger than 5MW, the FIT is fixed at 12.75 DZD per KWh for the first 5 years and between 12.75 DZD per kWh and 9.44 per kWh for the final 15 years.<br />
<br />
Only pays the FIT for a limited number of hours per year, following which electricity is sold at a conventional price."
The National Climate Plan,executive,Algeria,DZA,"Adaptation, Mitigation","Adaptation, Mitigation",Developing plans and strategies|Governance and planning,Plan,"","Adaptation, Energy Supply, Energy Demand, Redd+ And Lulucf, Transportation","Energy, LULUCF, Social development, Transportation, Urban, Waste",28/04/2013|Law passed||,,,"<div>The National Climate Plan presents an agenda both in terms of mitigation and adaptation, aims to realize sustained economic growth and inclusive social development, while taking due account of climate change related challenges. It provides an overview of climate change vulnerabilities in Algeria and proposes over 70 action measures, including:<br>&nbsp;- adoption of cleaner energy consumption model by substituting liquid fuels by natural gas and liquefied propane;<br>&nbsp;- achieving 35,000 hectares of forests and developing another 175,000 hectares;<br>&nbsp;-waste recovery (13.5 million tonnes / year),<br>&nbsp;- electrification of railway transport and intensification of urban public transport (including constructing the Algiers metro and tramway infrastructure in several cities).<br>&nbsp;The Plan further promotes uptake of renewable energies and sets a target of installing of 22,000 MW of renewable power capacity between 2011 and 2030, divided between 12, 000 MW to be dedicated to cover the national demand for electricity and 10,000 MW for export.</div>"
Executive Decree No. 2011-423 fixing the operating procedures of the Trust Account No. 302-1221 'National Fund for Renewable Energy and Cogeneration',executive,Algeria,DZA,"",Mitigation,Subsidies|Incentives,Decree/Order/Ordinance,"","Research And Development, Energy Supply",Energy,08/12/2011|Law passed,,,"Amends the operating procedures of the National Fund for Renewable Energy and Cogeneration, first established pursuant to the Finance Act of 2010, to increase the revenue paid into this fund from .5% of oil royalties to 1% of oil royalties, plus any additional contributions. Grants authority to the Minister of Finance to jointly manage expenditures from this fund with the Minister of Energy for the purposes of financing operations and projects for the promotion of renewable energy and cogeneration."
Renewable Energy and Energy Efficiency Development Plan,executive,Algeria,DZA,"",Mitigation,Subsidies|Incentives;Developing plans and strategies|Governance and planning; Research and development|Capacity-building,Plan,"","Energy Supply, Energy Demand","Energy, Residential and Commercial, Water",01/02/2011|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcDBJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ecf65ef79ec975ba401508b8e855a4620f1d0356/f|,,"The main objective of the Renewable Energy and Energy Efficiency Development Plan is to expand usage of renewable energies and to diversify energy sources in the country.<br />
<br />
The Plan's renewable energy goals are:<br />
- To install 22,000MW of power generating capacity from renewable sources between 2011 and 2030 (of which 12,000MW for internal usage and 10,000MW for export)<br />
- To meet 20% of electricity generation from renewables by 2030<br />
- For renewable energy development to drive sustainable economic development, to increase energy security supply, and to create jobs<br />
<br />
The plan recognises solar energy a primary renewable technology to be developed, while noting that the potential for wind, biomass, geothermal and hydropower energy is comparatively small. The Plan forecasts a 37% increase in total national electricity production by 2030 due to solar electricity production.<br />
<br />
The Development Plan has three stages:<br />
1. 2011 - 2013: pilot projects and testing period for various technologies with a goal to install 110MW of RE power capacity<br />
2. 2014 - 2015: beginning of the deployment programme. Installed RE power capacity to reach 650 MW by the end of this period<br />
3. 2016 - 2020: large scale REs plants deployment. Installed power capacity to reach about 2600 MW the end of this phase<br />
<br />
The Plan aims to increase energy efficiency through a number of avenues:<br />
1. improvement of heat insulation of buildings<br />
2. development of solar water heating; promotion of co-generation<br />
3. promotion of LPG and natural gas fuels<br />
4. developing solar cooling systems<br />
5. converting simply cycle power plants to combined cycle power plants, where possible<br />
6. desalinating brackish water using renewable energy<br />
7. substituting all mercury lamps with sodium lamps and promoting the use of low-energy lamps"
"Executive Decree No. 2011-33 on the establishment, organization and functioning of the Algerian Institute of Renewable Energy",executive,Algeria,DZA,"",Mitigation,Research and development|Capacity-building;International cooperation|Governance and planning; Education and training|Capacity-building,Decree/Order/Ordinance,"",Institutions / Administrative Arrangements,Energy,27/01/2011|Law passed,,,"Establishes the Algerian Institute of Renewable Energy (IAER) under the supervision of the Minister for Energy.Outlines the responsibilities of the IAER to include:<br />
- managing institutional needs and public and private organizations for the training and development of renewable energy and energy efficiency;<br />
- promoting research in the fields of renewable energy and energy efficiency;<br />
- consulting on the development of projects in the field of renewable energy and energy efficiency; and<br />
- concluding and collaborating on national and international agreements relative to renewable energy and energy efficiency.<br />
Further requires the Institute to provide skills trainings in renewable energy and energy efficiency for engineers, technicians, and other stakeholders in the field. Outlines that training topics shall include: development of engineering systems, safety and security trainings, energy audit trainings, and renewable energy management and energy efficiency modelling.<br />
<br />
Further outlines the membership and duties of the Institute and its component parts."
Executive Decree No. 10-258 establishing the powers of the Minister of Planning and the Environment,executive,Algeria,DZA,"","Adaptation, Mitigation, Loss And Damage",Developing plans and strategies|Governance and planning;Capacity-building - general|Capacity-building; Standards and obligations|Regulation,Decree/Order/Ordinance,"",Institutions / Administrative Arrangements,"Coastal zones, Environment, LULUCF",21/10/2010|Law passed,,,"Outlines the authority of the Minister of Planning and the Environment to recommend national policy related to sustainable development, land use management, and the environment.<br />
<br />
Authorizes the Minster to:<br />
- develop and implement national strategies for sustainable development and the environment;<br />
- planning the incremental evolution of cities and the distribution of equipment, activities, and the population;<br />
- identifying the optimal use of infrastructure and the national potential relative to the preservation and promotion of vulnerable coasts, mountains, steppes and border areas;<br />
- to develop and implement rules and measures to protect against environmental degradation and to conserve natural resources;<br />
- to design and implement cross-sector strategies and action plans relative to global concerns such as climate change, the protection of biodiversity, the protection of the ozone layer, and environmental impacts; and<br />
- to develop and promulgate rules and regulations consistent with this section.<br />
<br />
The above list is not exhaustive of the duties outlined in this decree."
"Executive Decree No. 2006-138 regulating the emissions into the atmosphere of gases, fumes, liquids or solid particles",executive,Algeria,DZA,"",Mitigation,"",Decree/Order/Ordinance,"",Energy Supply,Industry,15/04/2006|Law passed,,,"Establishes emission limits for stationary sources, particularly industrial facilities, for certain gases, including GHGs and nitrous oxide. Notably, excludes a number of GHGs from the list of gases with emission limits, including CO2, methane, and ozone.<br />
<br />
Requires industrial facility operators to keep registers of emissions released into the atmosphere. Prohibits such facilities from exceeding the emissions limits set under this decree and directs the operators to construct their facilities in such a way as to identify and capture emissions near the source. Further requires operators to treat emissions via chimney or pipe outlet, if facilities are approaching emission limits. Authorizes the periodic inspection of industrial facilities and subjects older industrial facilities, which are being upgraded within 5 years, to higher emissions limits."
"Executive Decree No. 2005-375 Creating the National Agency on Climate Change, fixing its missions and defining terms of its organisation and operation",executive,Algeria,DZA,"","Adaptation, Mitigation",Creating bodies and institutions|Governance and planning;Capacity-building - general|Capacity-building,Decree/Order/Ordinance,"",Institutions / Administrative Arrangements,"Industry, Residential and Commercial",26/09/2005|Law passed,,,"Establishes a new National Agency on Climate Change (ANCC), under the supervision of the Minister of Environment, whose primary mission is to contribute to the protection of the environment by assisting with the integration of climate change impact concerns in development plans.Additionally, the ANCC is charged with researching, synthesizing and engaging with the public regarding: (i) GHG emissions and sequestration and (ii) adaptation to and mitigation of various socio-economic climate change impacts. Following from this mission, the ANCC is responsible for: engaging in capacity building, establishing and maintaining a climate change database, aggregating weather data and preparing periodic reports, and coordinating climate change responses across different government and industry sectors.<br />
<br />
The ANCC is managed by an 18-member Board of Directors, composed of representatives from across the relevant Ministries and chaired by the Minister of Environment, or his representative.Additionally, the ANCC is headed by an appointed Executive Director, responsible for setting and appointing Algeria's National Policy for Climate Change, and is advised by a 10-member Scientific Council."
Executive Decree No. 2005-495 relative to the establishment of energy audits for large consumers,executive,Algeria,DZA,"",Mitigation,Monitoring and evaluation|Governance and planning,Decree/Order/Ordinance,"",Energy Demand,"Energy, Industry, Transportation",26/12/2005|Law passed,,,"<div>Establishes the parameters of new mandatory energy audits for:<br>&nbsp;(1) industrial companies whose energy consumption exceeds or is equal to 2,000 tonnes of oil equivalent (toe);<br>&nbsp;(2) transportation companies whose energy consumption exceeds or is equal to 1,000 tonnes of oil equivalent (toe); and<br>&nbsp;(3) service sector companies whose energy consumption exceeds or is equal to 500 tonnes of oil equivalent (toe).<br>&nbsp;<br>&nbsp;Enumerates the specific formula used to calculate tonnes of oil equivalent and excludes renewable energy from calculations of total energy consumption. Consumption data from the previous 5 years, or declared consumption data for new facilitates, is employed to calculate which companies have met the above thresholds requiring an energy audit.<br>&nbsp;<br>&nbsp;Requires energy audits to be performed on qualifying transportation and industrial companies every 3 years and on qualifying service sector companies every 5 years. Provides for the establishment of a list of qualified auditors to perform these audit<br>&nbsp;<br>&nbsp;Requires energy audits to include:<br>&nbsp;- the energy performance of facilities and its equipment;<br>&nbsp;- an analysis of the facilities energy consumption;<br>&nbsp;- the polluting emissions resulting from energy consumption;<br>&nbsp;- the energy efficiency of operations based on consumer standards;<br>&nbsp;- the identification of opportunities for energy savings or alternative energy use; and<br>&nbsp;- the development of a corrective action plan outlining operations to achieve economic savings.<br>&nbsp;<br>&nbsp;Specifies the contents of a mandatory report following from the energy audits, including: an overall energy balance; an analysis of each consumer sector and its significant transactions; an assessment of energy consumption and emissions; and the disclosure of opportunities and enumeration of recommendations for energy savings and alternative energy use to reduce polluting emissions.<br>&nbsp;<br>&nbsp;The National Agency for the Promotion and Rational Use of Energy (APRUE) is charged with overseeing this audit programme.</div>"
Law No. 04-20 relative to the Prevention of Major Risks and the Management of Catastrophes in the Framework of Sustainable Development,legislative,Algeria,DZA,"","Adaptation, Disaster Risk Management",Designing processes|Governance and planning,Law,"",Adaptation,"LULUCF, Water",29/12/2004|Law passed||,,,"<div>The Law establishes the legal framework for disaster prevention and disaster risk management in Algeria. This Law is not limited to climate change-related risks, but explicitly includes climatic risks, and climate related areas (notably flooding and forest fires), in addition to other non-climate related disasters.</div>"
Law No. 04-09 relative to Renewable Energy Promotion in the Framework of Sustainable Development,legislative,Algeria,DZA,"",Mitigation,Creating bodies and institutions|Governance and planning,Law,"","Research And Development, Energy Supply",Energy,14/08/2004|Law passed,,,"Builds on the general commitments outlined in Law No. 99-09 relative to the Management of Energy, laying the foundations for a requisite 'national programme to support renewable energy within the context of sustainable development.'<br />
<br />
Codifies Algeria's environmental mission to: promote the domestic development of renewable energy sources, to curb climate change by limiting GHG emissions, and to encourage sustainable development via the conservation and preservation of fossil fuel resources. Consistent with this mission, this law establishes a National Observatory/Centre for the Promotion of Renewable Energy.<br />
<br />
Serves as the framework for the Ministry of Energy and Mines detailed Renewable Energy and Energy Efficiency Programme (2011-2030), released in March 2011, which establishes specific quantitative targets for renewables."
Executive Decree No. 2004-92 On the Diversification of Power Generation Costs,executive,Algeria,DZA,"",Mitigation,Taxes|Incentives,Decree/Order/Ordinance,"",Energy Supply,"Energy, Waste, Water",25/03/2004|Law passed,,,"Further details the procedures governing a feed-in tariff mechanism to encourage renewable energy development, diversifying Algeria's national energy mix, pursuant to Law 02-01 (5 February 2002) establishing a legal framework for a feed-in-tariff scheme.<br />
<br />
This tariff provides for an additional premium to be paid, per kWh, to eligible renewable and co-generation facilities, above the base price for electricity in Algeria. Institutes specific tariffs, which vary by generation technology, that are certain percentages above the market price for electricity. Eligible technologies include: hydropower, wind, solar, solar thermal from solar-gas hybrid systems, waste to energy, and cogeneration of steam/water."
