Policy,Year,Keyword,Policy_Content,URL,Type,Source
H.R. 3585 – REGROW Act of 2021, 2021,"Environmental Justice,United States","This bill would amend the Energy Policy Act of 2005 to require that the Secretary of the Interior establish and fund a program for state and tribal governments to plug, remediate, and reclaim orphaned oil and gas wells. The program would include the restoration of native species’ habitats that have been degraded due to the presence of orphaned wells and associated infrastructure. The bill also calls to consider the number of jobs created or saved through remediation projects, as well as oil and gas jobs lost, when reviewing applicants. The bill would provide a total of $30 million from 2021 to 2030.",https://cdrlaw.org/resources/h-r-3585-regrow-act-of-2021/, Proposed Legislation,CDR_NETS
H.R. 3522 – TREES Act of 2021, 2021,"Environmental Justice,United States","This bill would direct the Secretary of Energy to establish a grant program that facilities trees planting to reduce residential energy consumptions. Grants would support nonprofits, retail power providers, and state, local, and tribal governments in projects that maximize energy and environmental justice benefits of added trees. The bill would authorize $50 million in annual appropriations for this grant program.",https://cdrlaw.org/resources/h-r-3522-trees-act-of-2021/, Proposed Legislation,CDR_NETS
S. 1458 – Cover Crop Flexibility Act of 2021, 2021,United States,This bill would amend the Federal Crop Insurance Act to support and de-risk the adoption of cover cropping. It would direct USDA to study how cover crops affect crop risk and allow USDA to include cover crop seed costs when calculating insurance premium payments to farmers affected by natural disaster. The bill would also remove insurance restrictions on grazing or harvesting cover crops.,https://cdrlaw.org/resources/s-1458-cover-crop-flexibility-act-of-2021/, Proposed Legislation,CDR_NETS
S.1356 – Healthy Soils Healthy Climate Act, 2021,United States,"This bill would create a permanent soil health program within EQIP that provides $100 million to producers who adopt practices that sequester carbon, prioritizing underserved farmers. The bill also establishes a Soil Health and Carbon Science Research Program at Agriculture Research Stations (ARS) that would provide funds to land grant colleges and universities for advanced soil carbon research.",https://cdrlaw.org/resources/s-1356-healthy-soils-healthy-climate-act/, Proposed Legislation,CDR_NETS
H.R.5859 – Trillion Trees Act, 2020,United States,"This bill would commit the United States to the global One Trillion Trees Initiative and direct the Secretary of Agriculture to set domestic wood growth targets for the purposes of capturing and storing carbon. It would require the secretary to make that determination “based on the best available scientific information” and so as to “not negatively impact continued sustainable harvest on national forest, state, tribal, and private forestland.”",https://cdrlaw.org/resources/h-r-5859-trillion-trees-act/, Proposed Legislation,CDR_NETS
Green Papers of Model Laws (Tree Planting Incentive Bill), 2020,United Kingdom,This publication includes a model UK law to provide for infrastructure scale investment in tree planting as a way to capture and store carbon in order to transition the UK to net zero emissions and mitigate climate change.,https://cdrlaw.org/resources/green-papers-of-model-laws-tree-planting-incentive-bill/, Proposed Legislation,CDR_NETS
S.3939 – Blue Carbon for Our Planet Act, 2020,,"This bill establishes the Interagency Working Group on Coastal Blue Carbon and sets targets for the protection and restoration of blue carbon ecosystems. The term ‘‘coastal blue carbon ecosystems’’ is defined in the legislation as vegetated coastal habitats, including mangroves, tidal marshes, seagrasses, kelp forests, and other tidal or saltwater wetlands, that have the ability to sequester carbon from the atmosphere, accumulate carbon in biomass for years to decades, and store carbon in soils for centuries to millennia.The bill also directs the National Academies to study the potential for carbon storage in deep seafloor environments and assess available technologies and pathways to remove CO2 directly from the ocean through engineered or inorganic processes. The study would also consider the viability of utilizing kelp farming and coastal wetland restoration for carbon sequestration, including assessing what would be required to develop markets around blue carbon.",https://cdrlaw.org/resources/s-3939-blue-carbon-for-our-planet-act/, Proposed Legislation,CDR_NETS
The EU Climate Law must prevent a rude awakening on carbon removal, 2020,European Union,This article highlights the importance of transparency when it comes to European estimates on Negative Emissions Technologies and Practices (NETPs). Bellona Europa urges the European Commission to set forth a strong legal framework ensuring actual emissions reduction in absolute terms. It is the European Commission’s responsibility to ensure that the intermediate targets enshrined into law through the proposed “Climate Law” do not over-rely on uncertain estimates of the future availability of NETPs.,https://cdrlaw.org/resources/the-eu-climate-law-must-prevent-a-rude-awakening-on-carbon-removal/, News/Commentary,CDR_NETS
EasyJet Pledge, 2020,,"EasyJet will offset the carbon from the fuel used for every flight, by investing in projects that include reforestation, protecting against deforestation, and renewable energies.",https://cdrlaw.org/resources/easyjet-commitment-to-net-zero-carbon-flights/, Declaration,CDR_NETS
Principles for Thinking about Carbon Dioxide Removal in Just Climate Policy, 2020,,"This article presents four principles for thinking about CDR’s role in climate policy to help ensure that CDR supports the kind of robust, abatement-focused long-term climate strategy that is essential to fair and effective implementation.",https://cdrlaw.org/resources/principles-for-thinking-about-carbon-dioxide-removal-in-just-climate-policy/, News/Commentary,CDR_NETS
Barriers to Negative-Emissions Technologies, 2020,,,https://cdrlaw.org/resources/barriers-to-negative-emissions-technologies/, News/Commentary,CDR_NETS
Harvard University Pledge, 2020,,"The University’s endowment will become greenhouse-gas neutral by 2050 by reducing and offsetting emissions with investment in technologies that remove carbon from the atmosphere. This commitment is not the same as fossil-fuel divestment; instead, “carbon neutrality” means reaching a “net zero” carbon footprint through a combination of the above activities.",https://cdrlaw.org/resources/harvard-university-pledge/, Declaration,CDR_NETS
AstraZeneca Pledge, 2020,,AstraZeneca has pledged to have zero carbon emissions from operations by 2025 and ensure its entire value chain is carbon negative by 2030 with the use of a 50-million tree reforestation initiative that will be rolled out from 2020-2025.,https://cdrlaw.org/resources/astrazeneca-pledge/, Declaration,CDR_NETS
House Bill No. 2640 – Carbon Farming Tax Credit, 2020,United States,"This bill aims to increase carbon sequestration in soils and associated co-benefits of increased yields, soil health, improved water quality and reductions in greenhouse gases. It does so by incentivising farmers through income tax credits to engage in farming practices that sequester atmospheric carbon.HB 2640 would establish an income tax credit for carbon farming. It would require the Secretary of Agriculture to create the parameters of the program, including certification process, rule making, as well as educational materials. The Secretary of Agriculture in consultation with the Secretary of Revenue would annually calculate and certify the amount of credit based on the economic value of carbon farming performed by the taxpayer.",https://cdrlaw.org/resources/house-bill-no-2640-carbon-farming-tax-credit/, Proposed Legislation,CDR_NETS
SB 286: Tax Credit for Carbon Farming, 2020,United States,"This bill establishes a tax credit for carbon farming in Florida and directs the Secretary of Environmental Protection, in consultation with the executive director of the Department of Revenue and the Commissioner of Agriculture, to determine the amount of the tax credit.",https://cdrlaw.org/resources/sb-286-tax-credit-for-carbon-farming/, Proposed Legislation,CDR_NETS
SB 5947 – Sustainable Farms and Fields Bill, 2020,United States,"This bill creates a grant program to incentivize farmers and ranchers to reduce fossil fuel inputs and increase sequestered carbon. The WA Department of Agriculture, in consultation with Washington State University, the State Conservation Commission, the National Resource Conservation Service, and the Washington Department of Natural Resources must create a system to estimate, measure, and verify outcomes for the sustainable farms and fields grant program. The bill requires that 80% of the funds go directly to producers in the form of grants for farming processes that reduce emissions, increase organic matter, and build healthy soils. The remaining funding covers educational campaigns and technical assistance to grant applicants.",https://cdrlaw.org/resources/sb-5947-sustainable-farms-and-fields-bill/, Enacted Legislation,CDR_NETS
H.R.5861 – Agriculture Resilience Act, 2020,United States,"The Agriculture Resistance Act (ARA) lays out 12 goals to meet over the next 20 years and directs the U.S. Department of Agriculture (USDA) to develop a plan to reach them. In addition to net zero, the goals include restoring at least half of lost soil carbon, reducing greenhouse gas emissions from ruminants (i.e., cattle, sheep, and goats) by at least 50 percent, tripling on-farm renewable energy production, and reducing food waste by at least 75 percent. Six subsequent sections address research, soil health, farmland preservation and farm viability, pasture-based livestock, on-farm renewable energy, and food loss and waste. When it comes to research, the bill would add climate change adaptation and mitigation to various existing programs as a priority focus.",https://cdrlaw.org/resources/h-r-5861-agriculture-resilience-act-2/, Proposed Legislation,CDR_NETS
"Once a Fringe Idea, Geoengineering Moves to Center Stage in Policy Arena", 2020,"Convention on Biological Diversity,London Convention/London Protocol,National Environmental Policy Act,Paris Agreement,United States",This edited transcript from an Environmental Law Institute webinar looks at potential domestic U.S. legal governance structures and the international institutions that might be applicable to governing carbon dioxide removal.,https://cdrlaw.org/resources/once-a-fringe-idea-geoengineering-moves-to-center-stage-in-policy-arena/, News/Commentary,CDR_NETS
Trees as Nature-Based Solutions: A Global South Perspective, 2020,,"This publication asks researchers about the potential role of trees in mitigating and adapting to climate change, as well as doing so in a way that does not compromise other Sustainable Development Goals.",https://cdrlaw.org/resources/trees-as-nature-based-solutions-a-global-south-perspective/, News/Commentary,CDR_NETS
Forest Law Amendment to Transform China’s Forest Sector, 2020,China,"In December 2019, the Standing Committee of the 13th National People’s Congress of China voted to revise the Forest Law, the second amendment since its original passage in 1984. The revised law requires any cultivation or use of forest resources to follow principles of sustainability and protection of nature. New material has been added to reflect these principles, including to enhance afforestation (including promoting public participation in afforestation) and science-based protection and restoration of forest ecosystems. This article reviews the history and new provisions of the revised Forest Law.",https://cdrlaw.org/resources/forest-law-amendment-to-transform-chinas-forest-sector/, News/Commentary,CDR_NETS
S. 4875 – Carbon Farming Tax Credit, 2020,United States,This bill establishes a tax credit for farmers who maximize carbon sequestration potential through a “carbon farming” land management strategy. The bill directs the Department of Environmental Conservation (DEC) to develop regulations related to certifying the amount of carbon sequestered or emissions reduced.,https://cdrlaw.org/resources/s-4875-carbon-farming-tax-credit/, Proposed Legislation,CDR_NETS
Ore. Rev. Stat. §526.780 et seq. – Oregon forestry offsets, 2019,United States,"Oregon permits the state forester to develop contracts with non-federal forest landowners to market, register, transfer or sell forest carbon offsets as a stewardship incentive. The sale of offsets must be at or greater than fair market value for non-federal forest owners. A portion of proceeds is directed to technical, financial and management assistance for non-federal forest landowners and to program administration. Activities eligible for offset credits include afforestation, reforestation and specific forest management practices.",https://cdrlaw.org/resources/ore-rev-stat-%c2%a7526-780-et-seq-oregon-forestry-offsets/, Enacted Legislation,CDR_NETS
Ocean Fertilization under the LC/LP, 2019,London Convention/London Protocol,"This page provides a brief overview of the steps taken by the Contracting Parties to the London Convention and London Protocol to address ocean fertilization since 1999, with links to the relevant meeting documents.",https://cdrlaw.org/resources/ocean-fertilization-under-the-lc-lp/, International Legal Instrument,CDR_NETS
International Maritime Organization Assessment Framework, 2019,London Convention/London Protocol,The Scientific Groups to the London Convention and London Protocol developed an Assessment Framework for Scientific Research Involving Ocean Fertilization. The Assessment Framework is designed to help regulators assess whether proposals for ocean fertilization constitute legitimate scientific research that is not contrary to the aims of the London Convention or Protocol. The Assessment Framework was adopted by resolution LC LP.2(2010) in October 2010 and is included as Annex 6 of the Report of the 2010 Meeting of the Contracting Parties.,https://cdrlaw.org/resources/international-maritime-organization-assessment-framework/, International Legal Instrument,CDR_NETS
Resolution for consideration at the 4th United Nations Environment Assembly: Geoengineering and its Governance, 2019,,"A resolution for consideration requesting the Executive Director of the United Nations Environment Programme to prepare an assessment of the status of geoengineering technologies, in particular carbon dioxide removal technologies.",https://cdrlaw.org/resources/resolution-for-consideration-at-the-4th-united-nations-environment-assembly-geoengineering-and-its-governance/, International Legal Instrument,CDR_NETS
British Airways Pledge, 2019,,"British Airways announced that it will offset the carbon emissions from all of its UK domestic flights through renewable energy, rainforest protection, and reforestation programs. In addition, the carrier says that from 2020 on all carbon emissions from international flights will be capped through the United Nations’ carbon offsetting scheme. The parent company, International Airlines Group (IAG) has also announced a commitment to achieving net zero carbon emissions by 2050.",https://cdrlaw.org/resources/british-airways-pledge/, Declaration,CDR_NETS
Amazon Pledge, 2019,,"Amazon has committed to net-zero carbon emissions by 2040 and is launching a $100 million fund to restore and protect forests, wetlands, and peatlands to remove carbon from the atmosphere.",https://cdrlaw.org/resources/amazon-pledge/, Declaration,CDR_NETS
Shopify Pledge, 2019,,Shopify has committed to investing at least $1 million each year into carbon sequestration with a stated intent to purchase sequestration at any price and drive the cost lower for removing carbon.,https://cdrlaw.org/resources/shopify-pledge/, Declaration,CDR_NETS
A.2718 – Carbon Farming Tax Credit, 2019,United States,This bill establishes a tax credit for farmers who maximize carbon sequestration potential through a “carbon farming” land management strategy and directs the Department of Environmental Conservation (DEC) to develop regulations related to certifying the amount of carbon sequestered or emissions reduced.,https://cdrlaw.org/resources/a-2718-carbon-farming-tax-credit/, Proposed Legislation,CDR_NETS
Bill H.873 – Healthy Soils Program, 2019,United States,,https://cdrlaw.org/resources/bill-h-873-healthy-soils-program/, Proposed Legislation,CDR_NETS
How the Republic of Korea Successfully Implemented a Country-Wide Reforestation Policy within 40 Years, 2019,South Korea,"This policy brief walks through the Republic of Korea’s reforestation policies, beginning with the Forest Law of 1961, and makes recommendations for developing countries.",https://cdrlaw.org/resources/how-the-republic-of-korea-successfully-implemented-a-country-wide-reforestation-policy-within-40-years/, Policy Proposal,CDR_NETS
ECCA30, 2019,,"ECCA30 seeks to bring 30 million hectares of degraded and deforested land in Europe, the Caucasus and Central Asia into restoration by 2030. ECCA30 will serve as a regional initiative to secure additional commitments and accelerate the implementation of the Bonn Challenge, a global restoration goal, the Land Degradation Neutrality and land and forest-based targets towards achieving the objectives of the Paris Agreement. It will facilitate access to technical and financial support, and reinforce regional cooperation and capacity exchange on forest landscape restoration (FLR). Further, it will help countries receive international and regional recognition of their restoration ambitions connected to their domestic priorities and projects.",https://cdrlaw.org/resources/ecca30/, Policy Proposal,CDR_NETS
Meeting Report: Forest Landscape Restoration and the Bonn Challenge in Eastern and South-East Europe, 2019,,"The workshop on Forest Landscape Restoration (FLR) and the Bonn Challenge in Eastern and South-East Europe took place on 16 and 17 December 2019 in Belgrade, Serbia. The meeting was attended by 40 participants, including government representatives from Bulgaria, Romania, Montenegro, Croatia, Republic of Serbia, Albania, Bosnia and Herzegovina, Slovakia, Germany, Ukraine, Slovenia, Republic of North Macedonia, Turkey and the Czech Republic.",https://cdrlaw.org/resources/meeting-report-forest-landscape-restoration-and-the-bonn-challenge-in-eastern-and-south-east-europe/, News/Commentary,CDR_NETS
California Forest Carbon Plan: Managing Our Forest Landscapes in a Changing Climate, 2018,United States,"California’s Forest Practices Act encourages carbon sequestration in California’s forests. Consistent with this mandate, California forest and fire management authorities (the “Forest Climate Action Team”) published a California forest carbon plan, outlining research and management objectives to establish California’s forests as a carbon sink. The plan also describes goals and related specific actions to improve overall forest health, enhance carbon storage resilience, increase sequestration, and reduce GHG emissions, and provides principles and policies to guide and support those actions. These principles and policies, which are grounded in existing laws and regulations, elevate enhancement of carbon sequestration and storage and reduction of black carbon and GHG emissions alongside the broader range of public benefits California’s forests provide.",https://cdrlaw.org/resources/california-forest-carbon-plan-managing-our-forest-landscapes-in-a-changing-climate/, Policy Proposal,CDR_NETS
S.2350 – Forest Incentives Program Act of 2018, 2018,,"This bill directs the Department of Agriculture (USDA) to create certain programs that provide incentives to reduce greenhouse gas emissions.Specifically, USDA must establish an incentives program to achieve supplemental greenhouse gas emission reductions and carbon sequestration on U.S. private forest land (eligible land) through carbon incentives contracts and conservation easement agreements. Under the program, USDA must make payments to owners of eligible land for: (1) certain forestry practices that increase carbon sequestration and storage over a designated period on eligible land, and (2) conservation easements on eligible land.In addition, USDA must establish an incentives program to achieve supplemental greenhouse gas emission reductions from materials in nonresidential buildings used for commercial or state or local government purposes. Under the program, USDA must provide owners of such buildings payments for the use of eligible products for sequestering carbon in those buildings. Eligible products are commercial or industrial products that are composed of biological products, including renewable agricultural and forestry materials.",https://cdrlaw.org/resources/s-2350-forest-incentives-program-act-of-2018/, Proposed Legislation,CDR_NETS
U.S. House of Representatives Resolution (H. CON. RES. 137), 2018,Paris Agreement,Resolution from Representative Raskin discussing the removal of carbon dioxide from the atmosphere.,https://cdrlaw.org/resources/u-s-house-of-representatives-resolution-h-con-res-137/, Declaration,CDR_NETS
The Ministerial Katowice Declaration on Forests for the Climate, 2018,UNFCCC,"This declaration underscores the key role forests must play in limiting temperature rise to 1.5˚C, and highlights the role of forests in sequestering and storing carbon in the soil.",https://cdrlaw.org/resources/the-ministerial-katowice-declaration-on-forests-for-the-climate/, Declaration,CDR_NETS
The politics and governance of negative emissions technologies, 2018,,,https://cdrlaw.org/resources/the-politics-and-governance-of-negative-emissions-technologies-2/, News/Commentary,CDR_NETS
Astana Resolution on Forest Landscape Restoration, 2018,,"In the Astana Resolution, ministers and country representatives from Armenia, Georgia, Kazakhstan, Kyrgyzstan, Tajikistan and Uzbekistan reaffirm their commitments to the Bonn Challenge global target of restoring 150 million hectares of deforested and degraded land by 2020 and 350 million hectares by 2030.",https://cdrlaw.org/resources/astana-resolution-on-forest-landscape-restoration/, Declaration,CDR_NETS
Decision 4/CP.23 – Koronivia Joint Work on Agriculture, 2017,UNFCCC,"This decision officially acknowledges the significance of the agriculture sectors in adapting to and mitigating climate change. The member countries to the UNFCCC agreed to work together to make sure that agricultural development ensures both increased food security in the face of climate change and a reduction in emissions. The joint work will address six topics related to soils, nutrient use, water, livestock, methods for assessing adaptation, and the socio-economic and food security dimensions of climate change across the agricultural sectors. This includes work on improving soil carbon.",https://cdrlaw.org/resources/decision-4-cp-23-koronivia-joint-work-on-agriculture/, International Legal Instrument,CDR_NETS
HB 1578 – Carbon Farming Task Force, 2017,United States,This bill creates a carbon farming task force to identify agricultural or aquacultural activities and best practices that provide carbon sequestration benefits that may be used to establish a carbon farming certification. This bill was repealed in 2018 to establish the Greenhouse Gas Sequestration Task Force.,https://cdrlaw.org/resources/hb-1578-carbon-farming-task-force/, Enacted Legislation,CDR_NETS
S.43 – Regenerative Soils Program, 2017,United States,This bill requires the Secretary of Natural Resources to establish a regenerative soils program whose purposes include increasing the carbon sequestration capability of Vermont soils and promoting cost-effective and healthy soil management practices.,https://cdrlaw.org/resources/s-43-regenerative-soils-program/, Proposed Legislation,CDR_NETS
Bill H.3713 – An Act to Promote Healthy Soils, 2017,United States,This bill establishes a fund for education and training for those engaged in agriculture that regenerates soil health.,https://cdrlaw.org/resources/bill-h-3713-an-act-to-promote-healthy-soils/, Proposed Legislation,CDR_NETS
House Bill 1063 – Maryland’s Healthy Soils Program, 2017,United States,,https://cdrlaw.org/resources/house-bill-1063-marylands-healthy-soils-program/, Enacted Legislation,CDR_NETS
H. 6011 Substitute A – House Resolution on Geoengineering Study, 2017,United States,"This bill creates a 5 Member Commission to study and provide recommendations to the state on the regulation and licensure of geoengineering, and who would report back by April 2, 2018. Ocean fertilization is defined in the bill as a geoengineering activity.",https://cdrlaw.org/resources/h-6011-substitute-a/, Proposed Legislation,CDR_NETS
International Context for the Geoengineering Debate, 2017,Paris Agreement,"This is the keynote speech at the Second International Climate Engineering Conference (CEC17) by the Director of the Sustainable Development Unit, Executive Office of the Secretary-General, United Nations.",https://cdrlaw.org/resources/international-context-for-the-geoengineering-debate/, Hearings and Testimony,CDR_NETS
Climate policymakers and assessments must get serious about climate engineering, 2017,,This commentary identifies the need for expanded research on climate engineering (CE) and how CE needs to be fully integrated into mainstream climate-change assessments from the IPCC.,https://cdrlaw.org/resources/climate-policymakers-and-assessments-must-get-serious-about-climate-engineering/, News/Commentary,CDR_NETS
How to govern geoengineering?, 2017,,This editorial identifies the institutional and governance challenges posed by carbon dioxide removal (CDR) and solar radiation management (SRM) and the need for the global policy community to address the issues.,https://cdrlaw.org/resources/how-to-govern-geoengineering/, News/Commentary,CDR_NETS
The Agadir Commitment, 2017,,"Through a series of thematic discussions on all aspects of forest and landscape restoration, including governance and intersectoral coordination, monitoring and evaluation, restoration techniques and good practices, the Silva Mediterranea partner countries confirmed their willingness to achieve a common restoration objective, hence the Agadir Commitment to restore at least 8 million hectares of degraded forest ecosystems by 2030.",https://cdrlaw.org/resources/the-agadir-commitment/, Policy Proposal,CDR_NETS
Kigali Declaration on Forest Landscape Restoration in Africa, 2017,Africa,"During the Africa High Level Bonn Challenge Roundtable on 26-27 July 2016, ministers and government officials representing 13 African countries adopted a declaration reaffirming and increasing their commitment to the Bonn Challenge and their dedication to developing and implementing forest landscape restoration activities with the support of IUCN and partners.",https://cdrlaw.org/resources/kigali-declaration-on-forest-landscape-restoration-in-africa/, Declaration,CDR_NETS
The Lilongwe Call for Action on Forest Landscape Restoration in Africa, 2017,Africa,"Ministers of African countries and representatives gathered in Lilongwe on July 12th and 13th, 2017 for the SADC+ Ministerial Bonn Challenge Summit, hosted by the Government of Malawi and issued this ‘Call for Action for Forest Landscape Restoration in Africa’.",https://cdrlaw.org/resources/the-lilongwe-call-for-action-on-forest-landscape-restoration-in-africa/, Declaration,CDR_NETS
Barraso-Schatz Air Capture Amendment to S.2012 – The Energy Policy Modernization Act (EPMA), 2016,,,https://cdrlaw.org/resources/barraso-schatz-air-capture-amendment-to-s-2012-the-energy-policy-modernization-act-epma/, Proposed Legislation,CDR_NETS
Convention on Biological Diversity COP 13 Decision XIII/14, 2016,Convention on Biological Diversity,"Decision adopted by the Conference of the Parties to the Convention on Biological Diversity on climate-related geoengineering that recognizes the importance of taking into account the knowledge, experience and perspectives of indigenous peoples and local communities when addressing climate-related geoengineering and protecting biodiversity.",https://cdrlaw.org/resources/convention-on-biological-diversity-cop-13-decision-xiii-14/, International Legal Instrument,CDR_NETS
SB 859 – Healthy Soils Program, 2016,United States,"The legislation established the Healthy Soils Program, which offers producers incentives to adopt GHG-reducing soil health practices and funds on-farm demonstration projects.",https://cdrlaw.org/resources/sb-859-healthy-soils-program/, Enacted Legislation,CDR_NETS
S.F. 2503 – Buffer Law 2015, 2015,United States,"The State of Minnesota “Buffer Law” requires 50-foot average buffers on lands bordering public waters and 16.5-foot buffers on lands bordering public ditches. The law is designed to reduce agricultural runoff, but will also increase soil carbon sequestration on the newly planted strips of land abutting lakes and streams. More than 90,000 miles of Minnesota shorelands are estimated to fall under the requirements. Landowners may choose to implement practices other than vegetative buffers in some cases, as long as the alternative practice provides water quality protection equivalent to a buffer. Landowners also retain their rights to utilize their perennially maintained buffer lands.",https://cdrlaw.org/resources/s-f-2503-minnesota-buffer-law/, Enacted Legislation,CDR_NETS
Ramsar COP12 Resolution XII.11, 2015,,"A resolution on peatlands, climate change and wise use by the Conference of the Parties to the Ramsar Convention that acknowledges and encourages the conservation of wetlands for carbon sequestration and storage.",https://cdrlaw.org/resources/ramsar-cop12-resolution-xii-11/, International Legal Instrument,CDR_NETS
