Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
Green Paper: A Vision for Hydrogen in New Zealand,2019,NEW ZEALAND,"The Green Paper: A Vision for Hydrogen in New Zealand is a discussion paper released for a consultation with stakeholders about the scope of New Zealand’s hydrogen potential to frame discussions for a national strategy. The Paper is to signal the opportunity that hydrogen can bring to New Zealand and frame discussions for a national strategy. The green paper asked 27 questions about the challenges and opportunities, and the Government’s role, in nine key areas: Hydrogen production, Hydrogen electricity nexus, Hydrogen for mobility, Hydrogen for industrial processes, Hydrogen for seasonal power generation, Decarbonisation of our gas, Hydrogen for export, Innovation expands job opportunities, Transitioning the job market.",https://policy.asiapacificenergy.org/node/4272,National,Other,Energy,Renewable,APEP
Petroleum Programme (Minerals Programme for Petroleum 2013),2013,NEW ZEALAND,The Petroleum Programme (Minerals Programme for Petroleum 2013) issued by the Minerals Programme for Petroleum 2013 Order (No 2) 2013 to come into force on 24 May 2013 pursuant to clause 3(7) of Schedule 1 of the Crown Minerals Act 1991.,https://policy.asiapacificenergy.org/node/4271,National,Programme,Energy,Oil,APEP
Crown Minerals (Royalties for Petroleum) Regulations 2013,2013,NEW ZEALAND,The Crown Minerals (Royalties for Petroleum) Regulations 2013 is issued pursuant to sections 105 and 105A of the Crown Minerals Act 1991.,https://policy.asiapacificenergy.org/node/4270,National,Rule/Regulation,Energy,"Oil, Gas",APEP
Crown Minerals (Petroleum Fees) Regulations 2016,2017,NEW ZEALAND,"The Crown Minerals (Petroleum Fees) Regulations 2016 determines annual fees and other fees payable under prospecting permits, exploration permits, mining permits etc.",https://policy.asiapacificenergy.org/node/4269,National,Rule/Regulation,Energy,Oil,APEP
Crown Minerals (Petroleum) Regulations 2007 (2017 Ed.),2017,NEW ZEALAND,The Crown Minerals (Petroleum) Regulations 2007 (2017 Ed.) are issuesd pursuant to section 105(1) of the Crown Minerals Act 1991.,https://policy.asiapacificenergy.org/node/4268,National,Rule/Regulation,Energy,Oil,APEP
Guidelines on Part 3 of the Electricity Industry Act 2010 Version 3.1 (2016 Ed.),2016,NEW ZEALAND,"The Guidelines on Part 3 of the Electricity Industry Act 2010 (2016 Ed.) are intended to assist participants who may be affected by Part 3 of the Electricity Industry Act 2010 by: 1. summarising the key rules that participants must comply with in Part 3; and 2. describing the Electricity Authority's responsibilities under Part 3. These guidelines are not a substitute for legal advice and, given the complex nature and scope of Part 3, any parties to whom Part 3 is likely to apply should seek specialist legal advice.",https://policy.asiapacificenergy.org/node/4266,National,"Act, Guideline",Power,Power,APEP
Gas (Levy of Industry Participants) Regulations 2020,2020,NEW ZEALAND,The Gas (Levy of Industry Participants) Regulations 2020 provide for a levy to meet the estimated costs referred to in section 43ZZC of the Gas Act 1992. These regulations apply to the 2020/21 financial year.,https://policy.asiapacificenergy.org/node/4264,National,Rule/Regulation,Energy,Gas,APEP
Fuel Industry Act 2020 (Public Act No. 60 of 2020),2020,NEW ZEALAND,The Fuel Industry Act 2020 aims to promote competition in engine fuel markets for the long-term benefit of end users of engine fuel products.,https://policy.asiapacificenergy.org/node/4263,National,Act,Energy,"Coal, Oil, Gas",APEP
Mid-term National Programme to Develop the State Policy on Energy (2018-2023) (Government Resolution No. 325 of 2018),2018,MONGOLIA,"The Mid-term National Programme to Develop the State Policy on Energy (2018-2023) defines the goals and objectives of the “State Energy Policy” approved by the Resolution No. 63 of the Parliament of Mongolia on June 19, 2015 and the measures to be implemented in 2018-2023. The medium-term national program consists of measures to be taken within the framework of the State's strategic policy goals and objectives, the required budget, financial estimates, sources of funding, and criteria for evaluating the effectiveness of the program.",https://policy.asiapacificenergy.org/node/4244,National,"Programme, Rule/Regulation","Energy, Power","All, Coal, Power, Gas",APEP
Integrated Power Network Rules (Grid Code) 2010 (Appendix No. 2 of the Minister of Mineral Resources and Energy Order No. 127 of 2010),2001,MONGOLIA,The Integrated Power Network Rules (Grid Code) 2010 (Appendix No. 2 of the Minister of Mineral Resources and Energy Order No. 127 of 2010) aim to regulate the extent of technical activities of component entities of the grid.,https://policy.asiapacificenergy.org/node/4243,National,"Code, Rule/Regulation, Other",Power,Power,APEP
Rules of Electricty Consumption (Appendix No. 1 of the Government of Mongolia Resolution No. 263 of 2001),2001,MONGOLIA,"The Rules of Electricty Consumption (Appendix No. 1 of the Government of Mongolia Resolution No. 263 of 2001) aim to regulate interactions between the consumers and electricity transmission, distribution and supply licensees in order to implement the Energy Law.",https://policy.asiapacificenergy.org/node/4242,National,Rule/Regulation,Power,Power,APEP
Heat Consumption Rule (Appendix No. 2 of the Government of Mongolia Resolution No. 263 of 2001),2001,MONGOLIA,"The Heat Consumption Rule (Appendix No. 2 of the Government of Mongolia Resolution No. 263 of 2001) aims to regulate interactions between the consumers and heat generation, transmission, distribution and supply licensees, and determine their rights and responsibilities in order to implement the Energy Law.",https://policy.asiapacificenergy.org/node/4241,National,"Rule/Regulation, Other","Energy, Power","All, Power",APEP
Petroleum (Safety Measures) Act 1984 (Act No. 302 of 1984) (2006 Ed.),2006,MALAYSIA,"The Petroleum (Safety Measures) Act 1984 (2006 Ed.) aims to consolidate laws relating to safety in the transportation, storage and utilization of petroleum and to provide for matters relating thereto.",https://policy.asiapacificenergy.org/node/4225,National,"Act, Law",Energy,"Oil, Gas",APEP
Petroleum and Electricity Control of Supplies Act 1974 (Act No. 128 of 1974) (2006 Ed.),2006,MALAYSIA,The Petroleum and Electricity Control of Supplies Act 1974 (Act No. 128 of 1974) (2006 Ed.) aims to make temporary provisions for the control of petroleum and electricity supplies.,https://policy.asiapacificenergy.org/node/4224,National,Act,"Energy, Power","Oil, Power",APEP
Rules for Supply and Use of Natural Gas (Ministerial Decree No. 152 of 2015),2015,KYRGYZSTAN,"The Rules for Supply and Use of Natural Gas (Ministerial Decree No. 152 of 2015) determine the relationship between consumers of natural gas, gas transmission and gas distribution (gas supply) organizations. The Rules establish the requirements for ensuring the rational and efficient use of gas during its supply, transmission (transportation), distribution, sale and use.",https://policy.asiapacificenergy.org/node/4212,National,"Decree, Rule/Regulation",Energy,Gas,APEP
Government Decree No. 650 of 2014 on State Agency for Regulation of the Fuel and Energy Complex under the Government of the Kyrgyz Republic (2021 Ed.),2021,KYRGYZSTAN,"The Government Decree No. 650 of 2014 (2021 Ed.) on State Agency for Regulation of the Fuel and Energy Complex under the Government of the Kyrgyz Republic (2017 Ed.) establishes the State Agency for Regulation of the Fuel and Energy Complex (SARFEC) under the Government of the Kyrgyz Republic on the basis of the State Department for Regulation of the Fuel and Energy Complex under the Ministry of Energy and Industry of the Kyrgyz Republic in order to separate the functions of forming policy, developing the fuel and energy complex, ensuring the independence of the sectoral regulatory body.",https://policy.asiapacificenergy.org/node/4210,National,Decree,Energy,"All, Coal, Oil, Gas",APEP
SARFEC Order No. 5 of 2016 approving Methodology for the Determination of Costs for the Calculation of Natural Gas Tariffs,2016,KYRGYZSTAN,"The SARFEC Order No. 5 of 2016 approving Methodology for the Determination of Costs for the Calculation of Natural Gas Tariffs applies to gas supply enterprises engaged in the transportation, distribution and sale of natural gas, the regulation of tariffs (prices) for products (works, services) of which is carried out by the decision of the Government of the Kyrgyz Republic.",https://policy.asiapacificenergy.org/node/4209,National,"Guideline, Other",Energy,Gas,APEP
SARFEC Order No. 4 of 2016 approving Methodology for the Determination of Costs and the Calculation of Electricity Tariffs,2016,KYRGYZSTAN,"The SARFEC Order No. 4 of 2016 approving Methodology for the Determination of Costs and the Calculation of Electricity Tariffs applies to electric power enterprises generating, transmitting and distributing electric energy in the amount of more than 100 million kWh, the regulation of tariffs (prices) for products (works, services) of which is carried out by the decision of the Government of the Kyrgyz Republic.",https://policy.asiapacificenergy.org/node/4208,National,"Guideline, Other",Power,Power,APEP
Rules for Purchase and Sale of Electricity From Net Consumers (Ministry of Energy Decree No 309 of 2016),2016,KAZAKHSTAN,The Rules for Purchase and Sale of Electricity From Net Consumers (Ministry of Energy Decree No 309 of 2016) determine the procedure for the purchase and sale of electricity from net consumers.,https://policy.asiapacificenergy.org/node/4202,National,"Decree, Rule/Regulation",Power,"Power, Renewable",APEP
Act on Improvement of Energy Consumption Performance of Buildings (Building Energy Conservation Act) (Act No. 53 of 2015),2015,JAPAN,"The Act on Improvement of Energy Consumption Performance of Buildings (Building Energy Conservation Act) (Act No. 53 of 2015) provides for regulatory measures for mandatory compliance with energy efficiency standards for large-scale non-residential buildings, as well as incentive measures such as a labeling system displaying compliance with energy efficiency standards and exception of floor-area ratio regulation for certified building.",https://policy.asiapacificenergy.org/node/4185,National,Act,"Power, Building","Power, Other",APEP
Presidential Regulation No. 55/2019 of 2019 on Accelerating Programs of Battery Electric Vehicles for Road Transportation,2019,INDONESIA,"The Presidential Regulation No. 55/2019 on Accelerating Programs of Battery Electric Vehicles for Road Transportation aims at enabling battery-powered electric vehicles to be made and deployed in the country. The Regulation introduces fiscal and non-fiscal incentives for local manufacturers, and aims at expanding the charging infrastructure. MEMR Regulation No. 13/2020 on the Provision of Electric Charging Infrastructure for Battery Electric Vehicle was adopted to implement the Presidential Regulation No. 55/2019.",https://policy.asiapacificenergy.org/node/4175,National,Rule/Regulation,"Power, Transport","Power, Renewable",APEP
Electrical Products (Safety) Regulation (2021 Ed.),2021,"HONG KONG, CHINA",The Electrical Products (Safety) Regulation (2021 Ed.) determines: safety requirements for electrical products (designed for household use) supplied in Hong Kong (Part II); requirements for obtaining a certificate of safety compliance (Part III); the recognised certification bodies and recognized manufacturers (Part IV); Director's powers (Part V); offences and penalties (Part VI).,https://policy.asiapacificenergy.org/node/4158,National,Rule/Regulation,Power,Power,APEP
Electricity (Registration) Regulations (Cap. 406D) (2021 Ed.),2021,"HONG KONG, CHINA","The Electricity (Registration) Regulations (Cap. 406D) (2021 Ed.) determine: the rules of registration of contractors (Part II); grades of electrical work and qualifications of workers (Part III); the rules of application for registration, registration, term and renewal (Part IV); rules of generating facility registration (Part V); transitional registration periods (Part VI); and fees for application for registration (Schedule).",https://policy.asiapacificenergy.org/node/4157,National,Rule/Regulation,Power,Power,APEP
Air Pollution Control (Motor Vehicle Fuel) Regulation (2010 Ed.),2010,"HONG KONG, CHINA","The Air Pollution Control (Motor Vehicle Fuel) Regulation (2010 Ed.) determines the rules of supplying and selling of leaded petrol, motor vehicle diesel, fuel additives containing lead, motor vehicle biodiesel.",https://policy.asiapacificenergy.org/node/4156,National,Rule/Regulation,Transport,"Oil, Other",APEP
Air Pollution Control (Fuel Restriction) Regulations (2008 Ed.),2008,"HONG KONG, CHINA","The Air Pollution Control (Fuel Restriction) Regulations (2008 Ed.) impose restriction on use of liquid fuel and solid fuel in Sha Tin fuel restriction area and on use of restricted liquid fuel in relevant plants outside Sha Tin fuel restriction area, and determines related provisions.",https://policy.asiapacificenergy.org/node/4154,National,Rule/Regulation,"Energy, Industry","Oil, Other",APEP
Gas Safety (Gasholder Examination) Regulation (2002 Ed.),2002,"HONG KONG, CHINA","The Gas Safety (Gasholder Examination) Regulation (2002 Ed.) determines rules for monthly and annual examination of gasholders, and related matters.",https://policy.asiapacificenergy.org/node/4153,National,Rule/Regulation,Energy,Gas,APEP
Gas Safety (Miscellaneous) Regulations (2019 Ed.),2019,"HONG KONG, CHINA","The Gas Safety (Miscellaneous) Regulations (2019 Ed.) impose restrictions on import and manufacture of flexible gas tubing and sale, etc. of flueless gas water heaters. The Regulations also specify: requirements relating to importation, etc. of domestic gas appliance; withdrawal of approval; measures to take upon withdrawal of approval on ground mentioned in regulation; appeals to appeal board; unauthorized use of mark; alteration in composition of gas supplied; specification of rank below which public officer shall not be appointed as inspector; and exemptions.",https://policy.asiapacificenergy.org/node/4152,National,Rule/Regulation,Energy,Gas,APEP
Gas Safety (Registration of Gas Supply Companies) Regulations (2002 Ed.),2002,"HONG KONG, CHINA",The Gas Safety (Registration of Gas Supply Companies) Regulations (2002 Ed.) determine: only registered gas supply companies may carry on business of gas supply company (Part II); procedure of registration of gas supply companies (Part III); duties of registered gas supply companies and gas distributors (Part IV); disciplinary action and related matters (Part V); appeals (Part VI); register (Part VII); miscellaneous (Part VIII).,https://policy.asiapacificenergy.org/node/4151,National,Rule/Regulation,Energy,Gas,APEP
Gas Safety (Registration of Gas Installers and Gas Contractors) Regulations (2015 Ed.),2015,"HONG KONG, CHINA",The Gas Safety (Registration of Gas Installers and Gas Contractors) Regulations (2015 Ed.) determine: qualification requirements for persons who may personally carry out gas installation work (Part II); procedure of registration of gas installers (Part III); duties of registered gas installers (Part IV); qualification requirements for gas contractors who may carry on business of gas contractor (Part V); procedure of registration of gas contractors (Part VI); duties of registered gas contractors (Part VII); disciplinary action and related matters (Part VIII); appeals (Part IX); register (Part X); miscellaneous (Part XI).,https://policy.asiapacificenergy.org/node/4150,National,Rule/Regulation,Energy,Gas,APEP
Gas Safety (Installation and Use) Regulations (2012 Ed.),2012,"HONG KONG, CHINA",The Gas Safety (Installation and Use) Regulations (2012 Ed.) apply to the reinstallation of a gas fitting in any premises as they apply to the installation of a gas fitting in any premises.,https://policy.asiapacificenergy.org/node/4149,National,Rule/Regulation,Energy,Gas,APEP
Gas Safety (Gas Quality) Regulations (2021 Ed.),2021,"HONG KONG, CHINA","The Gas Safety (Gas Quality) Regulations (2021 Ed.) determines standards of gas safety supply, including standard of pressure, standard of purity and distinctive smell. It also determines liability for violation of these regulations.",https://policy.asiapacificenergy.org/node/4148,National,Rule/Regulation,Energy,Gas,APEP
Code of Practice for Building Energy Audit (Energy Audit Code),2018,"HONG KONG, CHINA","The Code of Practice for Building Energy Audit (Energy Audit Code or EAC) is issued under Part 9 of the Buildings Energy Efficiency Ordinance, Chapter 610. EAC sets out the technical guidance and details in respect of the energy audit requirements governing the central building services installation under the Ordinance. Energy audits conducted in accordance with this EAC are deemed to have satisfied the relevant requirements of the Ordinance in the technical aspects.",https://policy.asiapacificenergy.org/node/4147,National,Code,"Power, Building","Power, Other",APEP
Code of Practice for Energy Efficiency of Building Services Installation (Building Energy Code),2018,"HONG KONG, CHINA","The Code of Practice for Energy Efficiency of Building Services Installation (Building Energy Code or BEC) is issued under Part 9 of the Buildings Energy Efficiency Ordinance, Chapter 610. BEC sets out the technical guidance and details in respect of the minimum energy efficiency requirements governing the building services installations defined in the Ordinance. Building services installations designed, installed and maintained to a design standard in accordance with this BEC are deemed to have satisfied the relevant requirements of the Ordinance in the technical aspects.",https://policy.asiapacificenergy.org/node/4146,National,Code,"Power, Building","Power, Other",APEP
Electricity Market Model Concept (Government Resolution No. 246 of 2020),2020,GEORGIA,"The Electricity Market Model Concept (Government Resolution No. 246 of 2020) establishes general principles for organizing and functioning of the wholesale trade electricity market in the country. The Market Concept aims: (a) to establish attractive environment for investors and to provide free options for consumers by way of developing competitive and transparent electricity markets; (b) to form organized electricity markets, inter alia, day-ahead and intraday markets, as well as balancing and ancillary services market and the market for bilateral agreements; (c) to provide clear distinction between the duties and responsibilities of the entities functioning in the energy sector; (d) to form competitive and liquid market price.",https://policy.asiapacificenergy.org/node/4138,National,Other,Power,Power,APEP
National Renewable Energy Action Plan (NREAP),2019,GEORGIA,The National Renewable Energy Action Plan (NREAP) aims to utline the current state of affairs as relates to the legislative and institutional framework for renewable energy as per the requirements of the Renewable Energy Directive; and to propose a number of policy and investment measures to be undertaken to meet the target of 30% of energy consumed coming from renewable energy for 2020 and implement the Renewable Energy Directive – including likely costs associated with their implementation.,https://policy.asiapacificenergy.org/node/4135,National,Plan/Strategy,"Energy, Power","Power, Renewable, Bioenergy, Geothermal, Hydropower, Solar, Wind, Other",APEP
Climate Change Act 2021,2021,FIJI,"The Climate Change Act 2021 aims to establish a comprehensive response to climate change, to provide for the regulation and governance of the national response to climate change, to introduce a system for the measurement, reporting and verification of greenhouse gas emissions and for related matters.",https://policy.asiapacificenergy.org/node/4133,National,Act,"Multi-Sector, Other",Other,APEP
Mining Regulations 2019,2019,AFGHANISTAN,The Mining Regulations (2019) have been enacted pursuant to Article 76 of the Minerals Law (2018).,https://policy.asiapacificenergy.org/node/4062,National,Rule/Regulation,Energy,Coal,APEP
National Action Plan on Air Pollutants,2019,MALDIVES,"The National Action Plan on Air Pollutants contains mitigation action plans in line with existing national plans to reduce greenhouse emissions from the key source sectors. To this end, the measures selected for this Action Plan were compiled firstly from the mitigation measures that have been included in the Maldives' long term climate goals, also known as the Nationally Determined Contributions (NDC), and then from the planned measures from different sectors which were not part of the NDC. These sectoral measures are collectively termed 'air quality measures' in comparing their effects with the NDC measures.",https://policy.asiapacificenergy.org/node/4028,National,Plan/Strategy,"Energy, Power, Multi-Sector, Other","Power, Renewable, Solar, Other",APEP
American Samoa Power Authority (Chapter 01) Public Utilities and Energy (Title 15) American Samoa Code Annotated (A.S.C.A.),1982,AMERICAN SAMOA,The American Samoa Power Authority (Chapter 01) Public Utilities and Energy (Title 15) American Samoa Code Annotated (A.S.C.A.) establishes a governmental agency within the executive branch of the government known as the American Samoa Power Authority; and a division within the American Samoa Power Authority known as the water and Wastewater Utility Division.,https://policy.asiapacificenergy.org/node/3939,National,"Code, Law","Energy, Power","All, Power",APEP
Ministry of Energy and Natural Resources (MENR) Regulation No. 27035 of 2008 on Increasing Efficiency in the Use of Energy Resources and Energy,2008,TURKEY,"The Regulation of the Ministry of Energy and Natural Resources (MENR) on Increasing Efficiency in the Use of Energy Resources and Energy is to set out the principles and procedures applicable to increasing efficiency in the use of energy resources and energy for ensuring efficient use of energy, avoiding the extravagance of energy, alleviating the burden of energy costs on the economy and protecting the environment.",https://policy.asiapacificenergy.org/node/3907,National,Rule/Regulation,"Energy, Power, Industry, Building","All, Power, Other",APEP
"Electricity (Safety, Quality and Continuity) Regulations of 2016",2016,SRI LANKA,"The Electricity (Safety, Quality and Continuity) Regulations of 2016 mandate that in the generation, transmission, distribution, supply and use of electricity all relevant persons shall take all reasonable steps to: (a) protect the public from dangers arising from the generation, transmission, distribution, supply and use of electricity from any electric line or electrical plant, (b) eliminate or reduce the risks of personal injury or damage to property or interference with its use resulting from the transmission, distribution and supply of electricity, and (c) comply with all supply and safety standards, contained in the Distribution Code, the Grid Code and Associated Technical and Safety Standards, as applicable to relevant persons.",https://policy.asiapacificenergy.org/node/3884,National,Rule/Regulation,Power,Power,APEP
Electricity (Procedure for Review and Adjustment of Tariffs) Rules No. 03 of 2016,2016,SRI LANKA,"The Electricity (Procedure for Review and Adjustment of Tariffs) Rules No. 03 of 2016 mandate that each Licensee shall, in accordance with the: (a) Tariff Methodology specified under Section 30(2)(a) of the Act and approved by the Commission; and (b) Tariff Review and Adjustment Detailed Procedure, make a tariff filing to the Commission for approval of their Allowed Revenue as well as Review and Adjustment of Tariffs.",https://policy.asiapacificenergy.org/node/3883,National,Rule/Regulation,Power,Power,APEP
Electricity (Dispute Resolution Procedure) Rules,2016,SRI LANKA,The Electricity (Dispute Resolution Procedure) Rules set out rules for resolution of disputes of tariff customers or any other affected party.,https://policy.asiapacificenergy.org/node/3880,National,Rule/Regulation,Power,Power,APEP
Utility-Driven Demand Side Management (DSM) Regulation of 2016,2016,SRI LANKA,"The Utility-Driven Demand Side Management (DSM) Regulation of 2016 mandate each distribution licensee to prepare and submit to the Commission, a Technical and Economic Potential Evaluation Report in every five years; the DSM Master Plan; and the DSM Programme, containing the specified time frame, budget, expenditure, challenges and mitigatory measures to be adopted, for a period of one year and submit it to the Commission.",https://policy.asiapacificenergy.org/node/3878,National,Rule/Regulation,Power,Power,APEP
Customs Tariff Amendment Act 2017 (Act No. 15 of 2017),2017,SAMOA,"The Customs Tariff Amendment Act 2017 amends the Customs Tariff Act 1975. In particular, it sets out import duty, duty excise and the rates of VAGST for energy saving devices.",https://policy.asiapacificenergy.org/node/3860,National,Act,"Power, Transport","Oil, Power, Renewable, Solar, Wind",APEP
Distribution Code 2005,2005,PAKISTAN,"The Distribution Code 2005 aims to ensure that the Licensee’s networks are planned developed, operated, and maintained in an efficient, safe, reliable, co-ordinated, and economical manner from the technical stand point. The Distribution Code, approved by NEPRA defines the technical and operational aspects of the relationship between Distribution Company and all those entities connected to the Distribution Company Distribution System. All Generators, BPCs, Distribution Companies and Special Purpose Transmission Licensees shall be subject to the relevant provisions of the Distribution Code as applicable.",https://policy.asiapacificenergy.org/node/3805,National,Code,Power,Power,APEP
Resource Management (Energy and Climate Change) Amendment Act 2004,2004,NEW ZEALAND,"The Resource Management (Energy and Climate Change) Amendment Act 2004 updates the Resource Management Act 1991 and recognises the government’s preference for national co-ordination of controls on GHG emissions and gives greater emphasis to climate change and energy matters in resource management, planning, and decision-making.",https://policy.asiapacificenergy.org/node/3793,National,Act,Energy,"All, Other",APEP
Draft Installation Standards Regulations,2013,MALDIVES,The Draft Installation Standards Regulations is to set the technical requirements and standards for the design and installation of electrical assets in the Republic of Maldives. The Installation Standards will develop the following aspects: Standards for LV Electrical Installations (Outdoor and Public Areas); Standards for LV Electrical Installations (In-House Areas); 3. Standards for MV Installations (Outdoor and Public Areas and Private Areas); 4. Standards for Generating Stations; 5. Verification.,https://policy.asiapacificenergy.org/node/3743,National,Rule/Regulation,Power,Power,APEP
Draft Metering Scheme Regulation,2013,MALDIVES,The Draft Metering Scheme Regulation aims to define the characteristics and requirements for the metering system and metering activities in a Distribution Network of the Republic of Maldives.,https://policy.asiapacificenergy.org/node/3741,National,Rule/Regulation,Power,Power,APEP
Draft Electricity (Applications for Licenses & Exemptions) Regulation,2012,MALDIVES,Draft Regulations on License for Electricity Operators.,https://policy.asiapacificenergy.org/node/3740,National,Rule/Regulation,Power,Power,APEP
Law on Natural Monopolies and Regulated Markets (No. 204-VI of 2018),2018,KAZAKHSTAN,The Law on Natural Monopolies and Regulated Markets (No. 204-VI of 2018) aims to (a) achieving a balance between the interests of consumers and natural monopolies; (b) define the legal basis of state regulation of activities in the areas of natural monopolies; (c) ensuring the availability of regulated services to consumers; (d) protection of interests of consumers and subjects of natural monopolies; (e) ensuring transparency of procedures of state regulation in the areas of natural monopolies; and (f) stimulating the improvement of the quality and demand for regulated services.,https://policy.asiapacificenergy.org/node/3699,National,Law,Energy,"Coal, Oil, Power, Gas",APEP
