Policy,Year,Keyword,Policy_Content,URL,Type,Source
Mich. Comp. L. Ann. § 205.303, 2014,"Enhanced Oil Recovery,United States",Grants a reduced severance tax rate to approved enhanced oil recovery (EOR) projects using carbon dioxide injection.,https://cdrlaw.org/resources/mich-comp-l-ann-%c2%a7-205-303/,Enacted Legislation,CDR_CCUS
Mich. Comp. L. Ann. § 483.3, 2014,United States,Authorizes the Public Service Commission to regulate CO2 transmission pipelines.,https://cdrlaw.org/resources/mich-comp-l-ann-%c2%a7-483-3/,Enacted Legislation,CDR_CCUS
Vermont Admin. Code r. 16-3-303:11-201, 2014,United States,Regulation classifying injection of CO2 streams for geological sequestration as Class VI injection wells subject to Vermont underground injection control regulations.,https://cdrlaw.org/resources/vermont-admin-code-r-16-3-30311-201/,Regulation,CDR_CCUS
S.2260 – EXPIRE Act of 2014, 2014,United States,"Under this proposed legislation, non-corporate taxpayers would be allowed to exclude Clean Coal Power Initiative (CCPI) grants and awards from gross income. Taxpayers would be required to reduce their basis in the property by the amount of the award. Grant recipients would also be required to pay an up-front interest charge equal to 1.18% of the value of the award.",https://cdrlaw.org/resources/s-2260-expire-act-of-2014/,Proposed Legislation,CDR_CCUS
"Ill. Admin. Code tit. 83, 302.40", 2013,United States,,https://cdrlaw.org/resources/ill-admin-code-tit-83-302-40/,Regulation,CDR_CCUS
Miss. Code Ann. § 27-65-19, 2013,"Enhanced Oil Recovery,United States",Applies a significantly reduced sales tax rate to carbon dioxide sold to EOR projects or permanent geological sequestration.,https://cdrlaw.org/resources/miss-code-ann-%c2%a7-27-65-19/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. § 69-13-101 et seq., 2013,United States,,https://cdrlaw.org/resources/mont-code-ann-%c2%a7-69-13-101-et-seq/,Enacted Legislation,CDR_CCUS
N.D. Admin. Code 43-05-01-01 et seq., 2013,United States,,https://cdrlaw.org/resources/n-d-admin-code-43-05-01-01-et-seq/,Regulation,CDR_CCUS
"Cal. Code Regs. tit. 17, § 95852(g)", 2012,"Enhanced Oil Recovery,United States",,https://cdrlaw.org/resources/cal-code-regs-tit-17-%c2%a7-95852g-2012-amended-2015/,Regulation,CDR_CCUS
"Ill. Admin Code tit. 35, § 730, subpart H", 2012,United States,,https://cdrlaw.org/resources/ill-admin-code-tit-35-%c2%a7-730-subpart-h/,Regulation,CDR_CCUS
16 Tex. Admin. Code § 3.30, 2012,United States,,https://cdrlaw.org/resources/16-tex-admin-code-%c2%a7-3-30/,Regulation,CDR_CCUS
LA Rev. Stat. Ann. §§30:1109, 2011,United States,Louisiana has enacted legislation to limit private liability for sequestration of captured carbon dioxide by transferring ownership of sequestered carbon dioxide to the state after 10 years (contingent on showing the reasonable expectation of future mechanical integrity). An industry-funded trust fund is thereafter used to pay for any maintenance or subsequent damages.,https://cdrlaw.org/resources/louisiana-ccs-liability-release-regulation/,Enacted Legislation,CDR_CCUS
Ky. Rev. Stat. Ann. § 154.27-100, 2011,United States,Authorizes the exercise of eminent domain authority for carbon dioxide pipelines which have received construction certificates from the Kentucky State Board on Electric Generation and Siting.,https://cdrlaw.org/resources/kentucky-eminent-domain-rules-for-co2-pipelines/,Enacted Legislation,CDR_CCUS
Ala. Admin Code r. 335-6-8-.01 et seq., 2011,United States,,https://cdrlaw.org/resources/ala-admin-code-r-335-6-8-01-et-seq/,Regulation,CDR_CCUS
415 Ill. Comp. Stat. Ann. 5/13.7, 2011,United States,,https://cdrlaw.org/resources/415-ill-comp-stat-ann-5-13-7/,Enacted Legislation,CDR_CCUS
Ind. Code § 8-1-8.8-1 et seq., 2011,United States,,https://cdrlaw.org/resources/ind-code-%c2%a7-8-1-8-8-1-et-seq/,Enacted Legislation,CDR_CCUS
Iowa Admin. Code r. 261-401.6, 2011,United States,,https://cdrlaw.org/resources/iowa-admin-code-r-261-401-6/,Regulation,CDR_CCUS
Ky. Rev. Stat. Ann. § 353.800 et seq., 2011,"Pore Space Ownership,United States",,https://cdrlaw.org/resources/ky-rev-stat-ann-%c2%a7-353-800-et-seq/,Enacted Legislation,CDR_CCUS
Miss. Code Ann. § 53-11-1 et seq., 2011,"CCS Liability,Enhanced Oil Recovery,United States",,https://cdrlaw.org/resources/miss-code-ann-%c2%a7-53-11-1-et-seq/,Enacted Legislation,CDR_CCUS
16 Tex. Admin. Code § 5.301, 2011,"Enhanced Oil Recovery,United States",,https://cdrlaw.org/resources/16-tex-admin-code-%c2%a7-5-301/,Regulation,CDR_CCUS
Ohio Rules on Carbon Injections, 2010,,Ohio’s SB 165 established that the Division of Oil and Gas Resources Management has the authority to issue permits for underground injection of carbon dioxide for secondary or tertiary recovery of oil or natural gas.,https://cdrlaw.org/resources/ohio-rules-on-carbon-injections/,Enacted Legislation,CDR_CCUS
"Cal. Code Regs. tit. 17, § 95486", 2010,United States,,https://cdrlaw.org/resources/cal-code-regs-tit-17-%c2%a7-95486-2010-amended-2019/,Regulation,CDR_CCUS
20 Ill. Comp. Stat. Ann. § 3501/825-65, 2010,United States,,https://cdrlaw.org/resources/20-ill-comp-stat-ann-%c2%a7-3501-825-65/,Enacted Legislation,CDR_CCUS
Iowa Code Ann. § 476.53, 2010,United States,,https://cdrlaw.org/resources/iowa-code-ann-%c2%a7-476-53/,Enacted Legislation,CDR_CCUS
16 Tex. Admin. Code § 5.201 et seq., 2010,United States,,https://cdrlaw.org/resources/16-tex-admin-code-%c2%a7-5-201-et-seq/,Regulation,CDR_CCUS
Wyo. R. & Regs. 055.0001.3 § 43, 2010,"Pore Space Ownership,United States",Implements procedures for the application and pooling of pore space to organize and operate a carbon dioxide geologic sequestration site.,https://cdrlaw.org/resources/wyo-r-regs-055-0001-3-%c2%a7-43/,Regulation,CDR_CCUS
N.M. Stat. Ann. § 7-2-18.25, 2009,United States,NM Stat. Ann. 7-2-18.25 provides a tax credit for coal facilities that capture and sequester or control CO2 emissions so that no more than one thousand one hundred pounds per megawatt-hour of carbon dioxide is emitted into the atmosphere.See also N.M. Stat. Ann. § 7-9J-4 (providing tax credits for CCS equipment in an IGCC coal plant).,https://cdrlaw.org/resources/new-mexico-tax-incentives-for-ccs/,Enacted Legislation,CDR_CCUS
Tex. Water Code Ann. § 27.041 et seq., 2009,"CCS Liability,United States",,https://cdrlaw.org/resources/texas-rules-regarding-pore-space/,Enacted Legislation,CDR_CCUS
South Dakota Rules Regarding Carbon Dioxide Pipelines, 2009,,HB 1129 authorized the South Dakota Public Utilities Commission to regulate the integrity of CO2 pipelines used for transporting CO2 for enhanced oil recovery or geologic sequestration.,https://cdrlaw.org/resources/south-dakota-rules-regarding-carbon-dioxide-pipelines/,Enacted Legislation,CDR_CCUS
Greenhouse Gas Geological Sequestration Regulations 2009, 2009,Australia,"These regulations provide for the elimination or minimization of the environmental, health and safety hazards and risks associated with greenhouse gas sequestration operations, and prescribe various administrative matters, fees and other requirements authorized by the Greenhouse Gas Geological Sequestration Act 2008.",https://cdrlaw.org/resources/greenhouse-gas-geological-sequestration-regulations-2009/,Regulation,CDR_CCUS
Directive 2009/29/EC of the European Parliament and of the Council, 2009,"EU Emissions Trading Scheme,European Union","This Directive revised the EU Emissions Trading Directive to include CCS beginning from 2013 onwards. Emissions that are captured and stored will be regarded as ‘not emitted’ for purposes of the ETS. Prior to 2013, Member States had the option of including CCS projects under the EU ETS but subject to European Commission approval. Under this Directive, a new paragraph 3a is inserted into Article 12 of the EU Emissions Trading Directive. This removes the obligation to surrender allowances where emissions have been verified as captured and transported for the purpose of permanent storage, in accordance with the CCS Directive (2009/31/EC). In addition, no free allocation is to be given to operators in the power sector undertaking the capture and storage of CO2.",https://cdrlaw.org/resources/directive-2009-29-ec-of-the-european-parliament-and-of-the-council/,Enacted Legislation,CDR_CCUS
20 Ill. Comp. Stat. Ann. 3855/1-75, 2009,United States,,https://cdrlaw.org/resources/20-ill-comp-stat-ann-3855-1-75/,Enacted Legislation,CDR_CCUS
220 Ill. Comp. Stat. Ann. 5/16-115, 2009,United States,,https://cdrlaw.org/resources/220-ill-comp-stat-ann-5-16-115/,Enacted Legislation,CDR_CCUS
La. Rev. Stat. Ann. § 30:1101 et seq, 2009,"CCS Liability,United States",,https://cdrlaw.org/resources/la-rev-stat-ann-%c2%a7-301101-et-seq/,Enacted Legislation,CDR_CCUS
La. Rev. Stat. Ann. § 633.4, 2009,"Enhanced Oil Recovery,United States",Provides a 50% tax reduction on enhanced oil recovery (EOR) projects that use anthropogenic carbon dioxide.,https://cdrlaw.org/resources/la-rev-stat-ann-%c2%a7-47633-4/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. § 75-5-401, 2009,United States,Exempts CO2 injection wellsfrom water permit requirements if they are properly permitted under oil and gas code.,https://cdrlaw.org/resources/mont-code-ann-%c2%a7-75-5-401/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. § 82-11-101 et seq., 2009,United States,"Statute that provides for regulation of CO2 wells by the Board of Oil and Gas Conservation, contingent on the U.S. EPA’s grant of primacy to administer activities at CO2 sequestration wells.",https://cdrlaw.org/resources/mont-code-ann-%c2%a7-82-11-101-et-seq/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. § 82-11-111, 2009,United States,,https://cdrlaw.org/resources/mont-code-ann-%c2%a7-82-11-111/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. § 82-11-123, 2009,United States,"Specifies standards necessary for the operation of a CO2 injection well including monitoring, record keeping, labeling and equipment.",https://cdrlaw.org/resources/mont-code-ann-%c2%a7-82-11-123/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. § 82-11-127, 2009,United States,,https://cdrlaw.org/resources/mont-code-ann-%c2%a7-82-11-127/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. § 82-11-137, 2009,United States,,https://cdrlaw.org/resources/mont-code-ann-%c2%a7-82-11-137/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. § 82-11-183, 2009,"CCS Liability,United States",,https://cdrlaw.org/resources/mont-code-ann-%c2%a7-82-11-183/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. 82-11-184, 2009,"Enhanced Oil Recovery,United States",,https://cdrlaw.org/resources/mont-code-ann-82-11-184/,Enacted Legislation,CDR_CCUS
N.D. Cent. Code § 38-22-01 et seq., 2009,"Enhanced Oil Recovery,United States",,https://cdrlaw.org/resources/n-d-cent-code-%c2%a7-38-22-01-et-seq/,Enacted Legislation,CDR_CCUS
Bad Request,,,,https://cdrlaw.org/resources/n-d-cent-code-%c2%a7-57-60-02-1/,,CDR_CCUS
"Okla. Stat. tit. 27A, § 3-5-101 et seq.", 2009,United States,,https://cdrlaw.org/resources/okla-stat-tit-27a-%c2%a7-3-5-101-et-seq/,Enacted Legislation,CDR_CCUS
Okla. Admin. Code § 155:30-1-1 et seq., 2009,United States,,https://cdrlaw.org/resources/okla-admin-code-%c2%a7-15530-1-1-et-seq/,Regulation,CDR_CCUS
Okla. Admin. Code § 155:30-13-1 et seq., 2009,United States,"Contains regulations specific to geologic carbon sequestration for the carbon offset program, including fees, application requirements, monitoring provisions, and eligibility limitations.",https://cdrlaw.org/resources/okla-admin-code-%c2%a7-15530-13-1-et-seq/,Regulation,CDR_CCUS
Tex. Nat. Res. Code Ann. § 120.001 et seq., 2009,United States,,https://cdrlaw.org/resources/tex-nat-res-code-ann-%c2%a7-120-001-et-seq/,Enacted Legislation,CDR_CCUS
Bad Request,,,,https://cdrlaw.org/resources/tex-nat-res-code-ann-%c2%a7-121-001-et-seq/,,CDR_CCUS
Tex. Tax Code Ann. § 171.602, 2009,United States,Provides a tax credit to clean energy projects that sequester at least 70% of CO2 emissions.,https://cdrlaw.org/resources/tex-tax-code-ann-%c2%a7-171-602/,Enacted Legislation,CDR_CCUS
Tex. Tax Code Ann. § 202.0545, 2009,"Enhanced Oil Recovery,United States",,https://cdrlaw.org/resources/tex-tax-code-ann-%c2%a7-202-0545/,Enacted Legislation,CDR_CCUS
Tex. Tax Code Ann. § 151.334, 2009,"Enhanced Oil Recovery,United States","Exempts CCS equipment used in a clean energy project from sales and use taxes, if the captured CO2 is either used in a local EOR project or sequestered in Texas for at least 1,000 years",https://cdrlaw.org/resources/tex-tax-code-ann-%c2%a7-151-334/,Enacted Legislation,CDR_CCUS
Tex. Health & Safety Code Ann. § 382.501 et seq, 2009,"Marine Sequestration,United States",,https://cdrlaw.org/resources/tex-health-safety-code-ann-%c2%a7-382-501-et-seq/,Enacted Legislation,CDR_CCUS
W. Va. Code Ann. § 22-11A-1 et seq., 2009,United States,Establishes legal and regulatory framework for permitting of CO2 sequestration sites and empowers the Department of Environmental Protection to permit and monitor carbon sequestration sites.,https://cdrlaw.org/resources/w-va-code-ann-%c2%a7-22-11a-1-et-seq/,Enacted Legislation,CDR_CCUS
H.R.1 – American Recovery and Reinvestment Act of 2009, 2009,United States,"The 2009 American Reinvestment and Recovery Act included $800 million for CCS technology for coal-fired plants, $1.52 billion for industrial CCS projects, and $1 billion for a stand-alone integrated power plant project incorporating CCS.",https://cdrlaw.org/resources/h-r-1-american-recovery-and-reinvestment-act-of-2009/,Enacted Legislation,CDR_CCUS
Greenhouse Gas Geological Sequestration Act 2008 (No. 61)., 2008,Australia,"This Act, consisting of 18 Parts, aims to facilitate and regulate the injection of greenhouse gas substances into underground geological formations for the purpose of permanent storage of those gases, including to facilitate and regulate the exploration for suitable underground geological storage formations, as part of Victoria’s commitment to the reduction of atmospheric greenhouse gas emissions.  ",https://cdrlaw.org/resources/greenhouse-gas-geological-sequestration-act-2008-no-61/,Enacted Legislation,CDR_CCUS
Fla. Stat. § 366.8255, 2008,United States,,https://cdrlaw.org/resources/fla-stat-%c2%a7-366-8255-west-2008-amended-2012/,Enacted Legislation,CDR_CCUS
Fla. Stat. § 366.91, 2008,United States,,https://cdrlaw.org/resources/fla-stat-%c2%a7-366-91-west-2008-amended-2010/,Enacted Legislation,CDR_CCUS
La. Rev. Stat. Ann. § 30:209, 2008,United States,,https://cdrlaw.org/resources/la-rev-stat-ann-%c2%a7-30209/,Enacted Legislation,CDR_CCUS
Me. Rev. Stat. tit. 38. § 585-K, 2008,United States,,https://cdrlaw.org/resources/me-rev-stat-tit-38-%c2%a7-585-k/,Enacted Legislation,CDR_CCUS
Mass. Gen. Laws Ann. ch. 23J § 1, 2008,United States,,https://cdrlaw.org/resources/mass-gen-laws-ann-ch-23j-%c2%a7-1/,Enacted Legislation,CDR_CCUS
Minn. Stat. Ann. § 116J.437, 2008,United States,"This law places “carbon capture, storage, or sequestration” in the definition of “green economy” and provides for actions to promote job training in support of a green economy.",https://cdrlaw.org/resources/minn-stat-ann-%c2%a7-116j-437/,Enacted Legislation,CDR_CCUS
Mont. Admin. R. 38.5.8228(2)(f), 2008,United States,This is the implementing regulation for Mont. Code Ann. § 69-8-421 requiring coal-fired plants to demonstrate 50% CCS in application to Commission.,https://cdrlaw.org/resources/mont-admin-r-38-5-82282f/,Regulation,CDR_CCUS
Mont. Admin. r. 17.80.201 et seq., 2008,United States,Regulation that provides procedures for qualifying property as CCS equipment and pipelines for property tax rates incentivizing geologic CO2 sequestration.,https://cdrlaw.org/resources/mont-admin-r-17-80-201-et-seq/,Regulation,CDR_CCUS
N.H. Rev. Stat. Ann. § 125-O:22, 2008,United States,,https://cdrlaw.org/resources/n-h-rev-stat-ann-%c2%a7-125-o22/,Enacted Legislation,CDR_CCUS
71 Pa. Stat. Ann. § 1361.3, 2008,United States,,https://cdrlaw.org/resources/71-pa-stat-ann-%c2%a7-1361-3/,Enacted Legislation,CDR_CCUS
66 Pa. Stat. Ann. § 2815, 2008,United States,Directs the Department of Environmental Protection to identify and assess Pennsylvanian geologic formations for carbon sequestration.,https://cdrlaw.org/resources/66-pa-stat-ann-%c2%a7-2815/,Enacted Legislation,CDR_CCUS
Utah Code Ann. § 10-19-101 et seq., 2008,United States,,https://cdrlaw.org/resources/utah-code-ann-%c2%a7-10-19-101-et-seq/,Enacted Legislation,CDR_CCUS
Utah Code Ann. § 54-17-601 et seq., 2008,United States,,https://cdrlaw.org/resources/utah-code-ann-%c2%a7-54-17-601-et-seq/,Enacted Legislation,CDR_CCUS
Utah Code Ann. § 54-17-701, 2008,United States,,https://cdrlaw.org/resources/utah-code-ann-%c2%a7-54-17-701/,Enacted Legislation,CDR_CCUS
Wash. Admin. Code § 173-218-115, 2008,United States,Regulation that contains permitting and regulatory requirements for carbon dioxide injection wells used for geological sequestration.,https://cdrlaw.org/resources/wash-admin-code-%c2%a7-173-218-115/,Regulation,CDR_CCUS
Wash. Admin. Code § 173-407-100 et seq., 2008,United States,,https://cdrlaw.org/resources/wash-admin-code-%c2%a7-173-407-100-et-seq/,Regulation,CDR_CCUS
Wash. Admin. Code § 463-80-010 et seq, 2008,United States,"Implements carbon dioxide mitigation program for thermal electric generating facilities of greater than 350 MW capacity, and allows mitigation through geological carbon sequestration.",https://cdrlaw.org/resources/wash-admin-code-%c2%a7-463-80-010-et-seq/,Regulation,CDR_CCUS
Wyo. Stat. Ann. § 34-1-152 and § 34-1-153, 2008,"CCS Liability,Pore Space Ownership,United States",,https://cdrlaw.org/resources/wyo-stat-ann-%c2%a7-34-1-152-and-%c2%a7-34-1-153/,Enacted Legislation,CDR_CCUS
Wyo. Stat. Ann. § 35-11-313 et seq., 2008,United States,,https://cdrlaw.org/resources/wyo-stat-ann-%c2%a7-35-11-313-et-seq/,Enacted Legislation,CDR_CCUS
HB 2419 – Kansas CCS Tax Incentive, 2007,,Kansas’ HB 2419 provides for income tax reductions and abatement of property taxes applicable to the power plant and the sequestration site for a generation project that sequesters CO2.,https://cdrlaw.org/resources/kansas-hb-2419/,Enacted Legislation,CDR_CCUS
"Cal. Code Regs. tit. 20, § 2904", 2007,United States,,https://cdrlaw.org/resources/cal-code-regs-tit-20-%c2%a7-2904-2007/,Regulation,CDR_CCUS
20 Ill. Comp. Stat. Ann. 3855/1-80, 2007,United States,,https://cdrlaw.org/resources/20-ill-comp-stat-ann-3855-1-80/,Enacted Legislation,CDR_CCUS
20 Ill. Comp. Stat. Ann. § 687/6-5, 2007,United States,,https://cdrlaw.org/resources/20-ill-comp-stat-ann-%c2%a7-687-6-5/,Enacted Legislation,CDR_CCUS
La. Rev. Stat. Ann. § 30:4, 2007,"Enhanced Oil Recovery,United States","Authorizes Department of Conservation to regulate the construction, design, and operation of pipelines transmitting CO2 to enhanced oil recovery (EOR) projects.",https://cdrlaw.org/resources/la-rev-stat-ann-%c2%a7-304/,Enacted Legislation,CDR_CCUS
Minn. Stat. Ann. § 216H.03, 2007,United States,Excludes CO2 captured and geologically sequestered for purposes of a ban on constructing power plants that contribute to state carbon dioxide emissions.,https://cdrlaw.org/resources/minn-stat-ann-%c2%a7-216h-03/,Enacted Legislation,CDR_CCUS
Mont. Code. Ann. § 15-24-3111, 2007,United States,,https://cdrlaw.org/resources/mont-code-ann-%c2%a7-15-24-3111/,Enacted Legislation,CDR_CCUS
Mont. Code Ann. § 69-8-421, 2007,United States,,https://cdrlaw.org/resources/mont-code-ann-%c2%a7-69-8-421/,Enacted Legislation,CDR_CCUS
N.M. Stat. Ann. § 62-6-28, 2007,United States,,https://cdrlaw.org/resources/n-m-stat-ann-%c2%a7-62-6-28/,Enacted Legislation,CDR_CCUS
N.D. Cent. Code § 17-01-01, 2007,United States,"Adoption of 25×25 Initiative, which supports use of carbon sequestration as part of the effort to get 25% of American energy from America’s renewable natural resources, while continuing to provide adequate food.",https://cdrlaw.org/resources/n-d-cent-code-%c2%a7-17-01-01/,Enacted Legislation,CDR_CCUS
Va. Code Ann. § 56-585.1, 2007,United States,"Allows enhanced cost recovery through utility rate adjustments for the construction of “carbon capture compatible, clean-coal powered” power plants.",https://cdrlaw.org/resources/va-code-ann-%c2%a7-56-585-1/,Enacted Legislation,CDR_CCUS
