Country,ID of policy or measure,Name of policy or measure,Description,Geographical_coverage,"Single policy or measure, or group of measures",Report_ID,Policies or measures included in the group,Type of policy instrument,Status of implementation,"Policy impacting EU ETS, ESD or LULUCF emissions",Sector(s) affected,Objective(s),Quantified objective,GHG(s) affected,Total GHG emissions reductions in 2025 (kt CO2eq/y),Total GHG emissions reductions in 2030 (kt CO2eq/y),Total GHG emissions reductions in 2035 (kt CO2eq/y),Total GHG emissions reductions in 2040 (kt CO2eq/y),Entities responsible for implementing the policy (type),Entities responsible for implementing the policy,Implementation period start,Implementation period finish,Is the policy or measure related to a Union policy?,Related Union Policy,Does_the_PaM_relate_to_Air_Pollution_policy?,Projection scenario in which the policy or measure is included,Indicator used to monitor and evaluate progress over time,Contribution to the LTS,General comment,Main reference,URL to main reference,GHG emissions reductions EU ETS in 2025 (kt CO2eq/y),GHG emissions reductions ESR in 2025 (kt CO2eq/y),GHG emissions reductions LULUCF in 2025 (kt CO2eq/y),GHG emissions reductions EU ETS in 2030 (kt CO2eq/y),GHG emissions reductions ESD in 2030 (kt CO2eq/y),GHG emissions reductions LULUCF in 2030 (kt CO2eq/y),GHG emissions reductions EU ETS in 2035 (kt CO2eq/y),GHG emissions reductions ESD in 2035 (kt CO2eq/y),GHG emissions reductions LULUCF in 2035 (kt CO2eq/y),GHG emissions reductions EU ETS in 2040 (kt CO2eq/y),GHG emissions reductions ESD in 2040 (kt CO2eq/y),GHG emissions reductions LULUCF in 2040 (kt CO2eq/y),Explanation of the basis for the mitigation estimates,Factors affected by the PaM,Reference for ex-ante assessment,Web link for ex-ante assessment,Year for which reduction applies (ex post),Average ex post emission reduction (kt CO2eq/y),Reference for ex-post assessment,Web link for ex-post assessment,Projected gross costs (EUR per tonne CO2eq reduced/ sequestered),Projected absolute costs per year (EUR),Year projected cost has been calculated for,Price reference year (projected costs),Projected benefits (EUR per tonne CO2eq reduced/ sequestered),Projected absolute benefit per year (EUR),Projected net costs (EUR per tonne CO2eq reduced/ sequestered),Projected net cost per year (EUR),Description of projected cost estimates,Description of non-GHG mitigation projected benefits,Reference for projected costs and benefits,Web link for projected costs and benefits,Realised gross costs (EUR per tonne CO2eq reduced/ sequestered),Realised absolute costs per year (EUR),Year realised cost has been calculated for,Price reference year (realised costs),Realised benefits (EUR per tonne CO2eq reduced/ sequestered),Realised absolute benefit per year (EUR),Realised net costs (EUR per tonne CO2eq reduced/ sequestered),Realised net cost per year (EUR),Description of realised cost estimates,Description of non-GHG mitigation realized benefits,Reference for realised costs and benefits,Web link for realised costs and benefits
Bulgaria,45,Waste: Utilization of the captured methane for production of electricity,The electricity generation from landfill methane is subject to special treatment by the National Electricity Grid. According the Energy Law the Grid operator should purchase all the renewable electricity at preferential prices. As far as methane from the landfills is considered as renewable energy source the selling of electricity is ensured.The captured methane can be utilized in piston gas motors where electricity is generated. The received electrical energy from the burning of one ton captured methane is expected to be about 4.2 MWh under the assumption that the diesel-generators operate 6 000 hours per year.This utilization of equipment for electricity production means an installed capacity of19.517 kW.,National,Single,519,Single PaM,Regulatory,Implemented,ESD/ESR,Energy Supply; Waste,"Energy Supply: Increase in renewable energy sources in the electricity sector,Waste: Enhanced CH4 collection and use",NA,CH4,,,,,National government,National government: Ministry of environment and water,2007,2030,Yes,"Landfill Directive 1999/31/EC, amended by Directive 2018/850Â ;Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC ",No information,With existing measures,"Reduced CO2 emissions (for a year, not cumulative) kt",under consideration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,46,Energy: Accelerated development of hydro energy (Construction of hydro cascade Gorna Arda and Sredna Vucha),The main instrument for the protection of wetlands is the Convention on Wetlands which is transposed in the Biological Diversity Act. The wetlands are designated as protected areas with priority or are included in Natura 2000. They will be subject to management plans that are currently being developed and that will be supplemented by special programmes for management in view of climate change.The needed financial resources are estimated on the basis of the accepted mean values of investments. Wetlands are characterized by great biological diversity and play an important role in carbon retention because they are among the most productive ecosystems. The restoration and the conservation of wetlands and woodlands and their proper management will enhance their efficiency as carbon stores.,National,Single,519,Single PaM,Economic; Regulatory,Implemented,EU ETS,Energy Supply,Energy Supply: Increase in renewable energy sources in the electricity sector,NA,CO2,,,,,National government,National government: Ministry of energy,2007,2030,Yes,"Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC ",No information,With existing measures,"Reduced CO2 emissions (for a year, not cumulative) kt",under consideration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,1,MEN-1: Promoting nZEB construction and renovation standards,"After 31 December 2018 all public buildings in the Republic of Croatia in which they reside or are owned by public bodies must be constructed according to the nZEB (Nearly Zero Energy Building) standard, and the obligation for all other newly constructed buildings occurs after 31 December 2020. These legal provisions ensure that all newly constructed buildings from 2021 onwards are according to the nZEB standard. However, in order to ensure the correct application of these directives, but also to encourage energy renovation of buildings according to the nZEB standard, in the next period it is planned to conduct a series of information and educational activities to promote construction and renovation according to the nZEB standard.
The measure has no direct effect on reducing energy consumption, but rather supports the regulatory measure for the construction of new buildings according to the nZEB standard, as well as a promotion measure for energy renovation up to the nZEB standard, which will result in measurable reduction of energy consumption, greater use of RES and avoided CO2 emissions.",National,Single,532,Single PaM,Information; Regulatory,Implemented,ESD/ESR; EU ETS,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,,CO2; CH4; N2O,,,,,National government,National government: Ministry of Physical Planning;  Construction and State Assets,2019,2030,Yes,"Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Effort Sharing Decision 406/2009/EC, ESD Annual Emission Allocation (AEA) Decision 2013/634/EU and Commission Decision (EU) 2017/1471 amending Decision 2013/162/EUÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002;Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) and amended by the Directive 2018/844Â  ",Yes,With existing measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,"Program to encourage the construction of new and renovating existing buildings to standards almost zero energy,Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030,National Plan for the Increase of the Number of Nearly-Zero Energy Buildings","https://mgipu.gov.hr/UserDocsImages/dokumenti/EnergetskaUcinkovitost/Program_nZEB.pdf,https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf,https://mgipu.gov.hr/UserDocsImages/dokumenti/EnergetskaUcinkovitost/PLAN_PBZ_0_energije_do_2020.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,2,MEN-2: Energy renovation programme for apartment buildings,"This program should be arranged as a continuation of the implementation of the Program of energy renovation of apartment buildings from the period from 2014 to 2020. For this purpose, it is necessary to plan funds from the ESI (European Structural and Investment) Funds for the next programming period 2021-2027 (with implementation by 2030), while implementation procedures need to be significantly simplified, especially in public procurement implementation. The technical conditions should also remain as in the existing Program. Therefore, it is necessary to reduce the thermal needs of the building by at least 50%. It is necessary to encourage that renovation is performed according to the nZEB (Nearly Zero Energy Building) standard. In addition, establishing a special fund from which costs will be reimbursed to energy-poor households or households at risk of energy poverty should be considered, in order to remove the obstacle of securing a sufficient number of co-owners' consents for energy recovery. The implementation of the Program must be accompanied by strong promotional activities, while technical assistance should be provided to applicants. It is necessary to ensure energy consumption monitoring before and after energy renovation, for which it is necessary to create preconditions within the EMIS (Energy Management Information System). The plan includes the renovation of around 520,000 m2 of apartment buildings per year.",National,Single,532,Single PaM,Economic,Implemented,ESD/ESR; EU ETS,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,"Renovation of 520,000 m2 of apartment buildings per year",CO2; CH4; N2O,,,,,National government; Others,National government: Ministry of Physical Planning;  Construction and State Assets; Others: Environmental Protection and Energy Efficiency Fund,2014,2030,Yes,"Directive 2006/32/EC on end-use energy efficiency and energy services;Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Effort Sharing Decision 406/2009/EC, ESD Annual Emission Allocation (AEA) Decision 2013/634/EU and Commission Decision (EU) 2017/1471 amending Decision 2013/162/EUÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002;Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) and amended by the Directive 2018/844Â  ",Yes,With existing measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,"Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030,The program of energy renovation of apartment buildings for the period from 2014 to 2020 with a detailed plan for the period from 2014 to 2016 (OG 78/14)","https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf,https://narodne-novine.nn.hr/clanci/sluzbeni/dodatni/432095.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,3,MEN-3: Energy renovation programme for single family houses,"The program should be conceived as a continuation of the implementation of the Program for energy renovation of family houses from the period from 2014 to 2020, with co-financing from the Environmental Protection and Energy Efficiency Fund. The program should leave the possibility of implementing individual measures, with respect to the order of implementation of measures (e.g. the replacement of a heating system with a more efficient system that uses RES should only be possible for those houses that have good thermal characteristics and do not need enclosure interventions). It is necessary to strongly encourage the renovation according to the nZEB standard. The implementation of the Program must be accompanied by strong promotional activities. The plan includes the renovation of around 350,000 m2 of family houses per year.",National,Single,532,Single PaM,Economic,Implemented,ESD/ESR; EU ETS,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,"Renovation of 350,000 m2 of family houses per year",CO2; CH4; N2O,,,,,National government; Others,National government: Ministry of Physical Planning;  Construction and State Assets; Others: Environmental Protection and Energy Efficiency Fund,2017,2030,Yes,"Directive 2006/32/EC on end-use energy efficiency and energy services;Directive 2018/2001 on the promotion of the use of energy from renewable sources, recast of the directive 2009/28/EC;Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Effort Sharing Decision 406/2009/EC, ESD Annual Emission Allocation (AEA) Decision 2013/634/EU and Commission Decision (EU) 2017/1471 amending Decision 2013/162/EUÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002;Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) and amended by the Directive 2018/844Â  ",Yes,With existing measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,"Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030,The program for energy renovation of family houses for the period from 2014 to 2020 with a detailed plan for the period from 2014 to 2016 (OG 43/14, 36/15, 57/20)","https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf,https://narodne-novine.nn.hr/clanci/sluzbeni/full/2020_05_57_1146.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,4,MEN-4: Energy renovation programme for public buildings,"The measure is based on the Programme for the Energy Renovation of Public Buildings for the Period from 2014 to 2015. For this purpose, it is necessary to plan funds from the ESI (European Structural and Investment) Funds for the next programming period 2021-2027 (with implementation by 2030). Funds need to be planned to ensure both the activation of private capital and the ESCO (Energy Service Company) market, especially for buildings that are suitable for such financing models (buildings with continuous work, such as hospitals, penitentiaries, homes for the elderly, etc.) and belonging to the category of central government buildings. Market models need to be combined with grants in order to achieve nZEB (Nearly Zero Energy Building) standards. For buildings that are not suitable for market models, it is necessary to provide grants under the same conditions as in the previous program. Renovation of public sector buildings needs to be directed towards the nZEB standard wherever technically feasible. The plan includes the renovation of around 350,000 m2 of public buildings per year.",National,Single,532,Single PaM,Economic,Implemented,ESD/ESR; EU ETS,Energy Consumption,"Energy Consumption: Efficiency improvement in services/tertiary sector,Energy Consumption: Efficiency improvements of buildings","Renovation of 350,000 m2 of public buildings per year",CO2; CH4; N2O,,,,,National government; Others,National government: Ministry of Physical Planning;  Construction and State Assets; National government: Agency for Legal Affairs and Real Estate; Others: Environmental Protection and Energy Efficiency Fund,2014,2030,Yes,"Directive 2006/32/EC on end-use energy efficiency and energy services;Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Effort Sharing Decision 406/2009/EC, ESD Annual Emission Allocation (AEA) Decision 2013/634/EU and Commission Decision (EU) 2017/1471 amending Decision 2013/162/EUÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002;Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) and amended by the Directive 2018/844Â  ",Yes,With existing measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,"The program for energy renovation of public sector buildings for the period 2016-2020 (OG 22/17),Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030","https://narodne-novine.nn.hr/clanci/sluzbeni/2017_03_22_508.html,https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,5,MEN-5: Energy renovation programme for buildings that have the status of cultural property,"Protected buildings in terms of the Energy Renovation Programme of buildings that have the status of cultural property are those that can be classified into two categories: individually protected cultural property (individual building and construction complexes) and buildings located within the protected cultural and historical ensemble. The program does not include buildings protected as a preventively protected cultural property, or buildings registered as cultural property. Two basic approaches to energy renovation of buildings that are the subject of this Programme have been developed: a complete (integrated) approach and an approach with the application of individual energy renovation measures.",National,Single,532,Single PaM,Economic,Planned,ESD/ESR; EU ETS,Energy Consumption,"Energy Consumption: Efficiency improvement in services/tertiary sector,Energy Consumption: Efficiency improvements of buildings",Renovation of 8.975.943 m2 of buildings that have the status of cultural property,CO2; CH4; N2O,,,,,National government; Others,National government: Ministry of Physical Planning;  Construction and State Assets; Others: Environmental Protection and Energy Efficiency Fund,2021,2035,Yes,Directive 2006/32/EC on end-use energy efficiency and energy services;Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002;Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) and amended by the Directive 2018/844Â  ,Yes,With additional measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030,"https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,6,MEN-6: Energy renovation programme for public lighting,"Energy renovation of public lighting in the Republic of Croatia is currently being carried out using ESI (European Structural and Investment) Funds from the European Regional Development Fund. Given the significant potential that exists in public lighting systems, it is planned to use ESI Funds in the next programming period from 2021 to 2027. By programming a larger allocation of funds for this purpose, the existing potential could be used by the end of 2030, which is estimated at around 225-280 GWh. At the same time, the renovation of public lighting would meet the technical standards for road lighting, which means that traffic safety would be improved and light pollution would be reduced. The financing models that will be used in the next period should also enable the mobilization of private capital through energy services or public-private partnerships, in order to achieve the best possible multiplier effect. Models that are to be considered include interest rate subsidies on commercial loans/required returns to the service provider and guarantees, while it is necessary to provide grants for projects requiring investment in new public lighting infrastructure (poles, additional luminaires, etc.) to meet standard lighting requirements.",National,Single,532,Single PaM,Economic,Implemented,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvement in services/tertiary sector,Energy savings in 2030: 0.90 PJ,CO2; CH4; N2O,,,,,National government; Others,National government: Ministry of Economy and Sustainable Development; Others: Environmental Protection and Energy Efficiency Fund,2014,2040,Yes,"Directive 2006/32/EC on end-use energy efficiency and energy services;Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Effort Sharing Decision 406/2009/EC, ESD Annual Emission Allocation (AEA) Decision 2013/634/EU and Commission Decision (EU) 2017/1471 amending Decision 2013/162/EUÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ",Yes,With existing measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030,"https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,7,MEN-7: Energy management in the public sector,"The public sector in Croatia is obliged to systematically manage energy, which is specifically regulated by the Energy Efficiency Act (OG 127/14, 116/18, 25/20), or the Ordinance on Systematic Energy Management (OG 18/15, 6/16). The basis of this measure is an Information System for Energy Management (ISGE). The goal is to include and regularly monitor with ISGE all public sector buildings and public lighting systems by the end of 2030.",National,Single,532,Single PaM,Information; Regulatory,Implemented,ESD/ESR; EU ETS,Energy Consumption,"Energy Consumption: Demand management/reduction,Energy Consumption: Efficiency improvement in services/tertiary sector",Energy savings in 2030: 0.20 PJ ,CO2; CH4; N2O,,,,,National government; Others,Others: Agency for Legal Affairs and Real Estate; National government: Ministry of Physical Planning;  Construction and State Assets,2014,2030,Yes,"Directive 2006/32/EC on end-use energy efficiency and energy services;Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Effort Sharing Decision 406/2009/EC, ESD Annual Emission Allocation (AEA) Decision 2013/634/EU and Commission Decision (EU) 2017/1471 amending Decision 2013/162/EUÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ",Yes,With existing measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030,"https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,8,MEN-8: Energy management in the business (service and production) sector ,"Although large companies are obliged to conduct regular energy audits, this obligation does not ensure continuous care for energy consumption in the company nor does it cover small and medium-sized enterprises. In order to encourage companies to introduce certified energy management systems (such as ISO 50001), by 2020 a comprehensive analysis of the possibilities of using the tax system (including taxes and parafiscal levies) will be made to encourage companies to introduce such a system and thus ensure continuous care for energy consumption.",National,Single,532,Single PaM,Fiscal,Planned,ESD/ESR; EU ETS,Energy Consumption,"Energy Consumption: Demand management/reduction,Energy Consumption: Efficiency improvement in industrial end-use sectors,Energy Consumption: Efficiency improvement in services/tertiary sector",,CO2; CH4; N2O,,,,,National government,National government: Ministry of Finance; National government: Ministry of Economy and Sustainable Development,2021,2040,Yes,Directive 2006/32/EC on end-use energy efficiency and energy services;Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ,Yes,With additional measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030,"https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,9,MEN-9: Informational accounts,"One of the basic measures of informing consumers is the legal obligation of suppliers for submitting to consumers at least once a year information invoices, which contain information on energy billing and previous consumption of the end customer for billing meters that are the subject of the contract, which include comparison with average regular consumption or reference customer from the same category. It is desirable to reduce the frequency of application of this legal provision from the annual level to the monthly level, and it is absolutely necessary to ensure that the energy regulatory body monitors these obligations of energy suppliers. In addition, based on these regulations, it is necessary to further inform consumers about the content and meaning of bills, which is the task of the National Coordination Body for Energy Efficiency.",National,Single,532,Single PaM,Information; Regulatory,Implemented,ESD/ESR; EU ETS,Energy Consumption,"Energy Consumption: Efficiency improvement in industrial end-use sectors,Energy Consumption: Efficiency improvement in services/tertiary sector",,CO2; CH4; N2O,,,,,National government; Others,Others: Energy Suppliers; National government: Ministry of Economy and Sustainable Development,2014,2040,Yes,"Directive 2006/32/EC on end-use energy efficiency and energy services;Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Effort Sharing Decision 406/2009/EC, ESD Annual Emission Allocation (AEA) Decision 2013/634/EU and Commission Decision (EU) 2017/1471 amending Decision 2013/162/EUÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ",Yes,With existing measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030,"https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,10,MEN-10: Energy efficiency information,"Informing the general public and target groups will be carried out by organizing targeted info-campaigns related to specific programs to promote energy efficiency, especially energy renovation of buildings. National Coordination Body for Energy Efficiency will maintain a national energy efficiency portal and ensure continuous promotion of energy efficiency and energy services through the provision of up-to-date information. In the next period, special attention should be given to informing consumers about the duties of the supplier within the system of obligations.",National,Single,532,Single PaM,Information,Implemented,ESD/ESR; EU ETS,Energy Consumption,"Energy Consumption: Efficiency improvement in industrial end-use sectors,Energy Consumption: Efficiency improvement in services/tertiary sector,Energy Consumption: Efficiency improvements of buildings",,CO2; CH4; N2O,,,,,National government; Others,National government: Ministry of Economy and Sustainable Development; National government: Ministry of Physical Planning;  Construction and State Assets; Others: Environmental Protection and Energy Efficiency Fund and EU funds,2014,2030,Yes,"Directive 2006/32/EC on end-use energy efficiency and energy services;Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Effort Sharing Decision 406/2009/EC, ESD Annual Emission Allocation (AEA) Decision 2013/634/EU and Commission Decision (EU) 2017/1471 amending Decision 2013/162/EUÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002 ",Yes,With existing measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030,"https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,11,MEN-11: Energy efficiency education,"Training will be achieved through the continued implementation of the existing measure and the adaptation of activities to the needs and the real situation. It is especially important to work systematically on attracting young people to construction and other technical occupations, which will in the long run contribute to the availability of professional capacities for the implementation of energy renovation of buildings, which is the basis for achieving energy and climate goals. Through education in the field of energy efficiency, the principles of green building will be set and applied: it is necessary to encourage the promotion and implementation of green building (construction according to the principles of sustainability) as an important segment of sustainable development and the circular economy.",National,Single,532,Single PaM,Education,Implemented,ESD/ESR,Energy Consumption,"Energy Consumption: Demand management/reduction,Energy Consumption: Efficiency improvements of buildings",,CO2; CH4; N2O,,,,,Others,Others: Croatian Employment Service; Others: Agency for Vocational Education and Adult Education,2017,2040,Yes,"Directive 2006/32/EC on end-use energy efficiency and energy services;Effort Sharing Regulation EU 2018/842Â and implementing decision on ESR Annual Emission AllocationsÂ ;Effort Sharing Decision 406/2009/EC, ESD Annual Emission Allocation (AEA) Decision 2013/634/EU and Commission Decision (EU) 2017/1471 amending Decision 2013/162/EUÂ ;Energy Efficiency Directive 2012/27/EU as amended by Directive 2018/2002;Recast of the Energy Performance of Buildings Directive (Directive 2010/31/EU) and amended by the Directive 2018/844Â  ",Yes,With existing measures,,"The PaM is included in the long-term strategy
An assessment of the contribution of PAM in achieving the goals of the Low-Carbon Development Strategy until 2030 with a view to 2050 cannot be given since the Low-Carbon Development Strategy has not yet been adopted. An Action Plan for the implementation of the Low-Carbon Development Strategy for a five-year period is being prepared, in which indicators for monitoring the implementation of the Low-Carbon Development Strategy will be defined.
",,"CROSKILLS projekt,Integrated National Energy and Climate Plan for the Republic of Croatia for the period 2021-2030","http://www.croskills.hr/,https://mingor.gov.hr/UserDocsImages/UPRAVA%20ZA%20ENERGETIKU/Strategije,%20planovi%20i%20programi/NECP_Croatia_eng.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
