Policy,Year,Country,Policy_Content,URL,Scope,Explanation,Agency,Source
Executive Order Launches Government-Wide Climate Action,2021,USA,"<p>President Biden signed an executive order that elevates climate change across the federal government, creates a number of new governmental bodies to address climate change, declares immediate actions to confront climate change, and directs agency heads to take steps to increase renewable energy, decrease fossil fuel production, and prioritize environmental justice.</p>
On January 27, 2021, President Biden signed the Executive Order on Tackling the Climate Crisis at Home and Abroad. The executive order signals that climate change will be a priority in policy making across the federal government, establishes a number of new offices, and instructs agency heads to take steps towards developing climate policies.

In the realm of foreign policy, the executive order builds on the creation of a Special Presidential Envoy for Climate by declaring, among other things, that President Biden will host an early Leaders' Climate Summit aimed at raising ambition ahead of the 26th UN Climate Change Conference of the Parties, that the United States will immediately begin the process of developing its nationally determined contribution under the Paris Agreement, and that the United States will immediately begin to develop a climate finance plan.

With respect to domestic policy, the executive order establishes a new White House Office of Domestic Climate Policy, National Climate Task Force, Interagency Working Group on Coal and Power Plant Communities and Economic Revitalization, a White House Environmental Justice Interagency Council, and a White House Environmental Justice Advisory Council (within EPA). Among other things, the executive order also instructs the Secretary of the Interior to seek to increase renewable energy production on federal lands and offshore waters, pause new oil and natural gas leases on public lands and offshore waters to the extent possible, and develop a plan to create a Civilian Climate Corps Initiative; and directs the EPA to strengthen civil rights protections and create a community notification program to monitor environmental pollution.

Read the full executive order here.

 

 ",https://climate.law.columbia.edu/content/executive-order-launches-government-wide-climate-action,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Reaffirms Scientific Integrity,2021,USA,"<p>President Biden signed a Memorandum on Restoring Trust in Government Through Scientific Integrity and Evidence-Based Policymaking</p>
On January 27, 2021, President Biden signed a Memorandum on Restoring Trust in Government Through Scientific Integrity and Evidence-Based Policymaking, which reaffirms scientific integrity policies and seeks to ensure that policy is informed by science, and that science is not distorted by politics. The memorandum directs the Director of the Office of Science and Technology Policy to convene an interagency task force to conduct a thorough review of the effectiveness of agency scientific integrity policies, and report on a biennial basis on scientific integrity policies.",https://climate.law.columbia.edu/content/president-biden-reaffirms-scientific-integrity,National,Presidential Memorandum,White House,Climate-Reregulation-Tracker
President Biden Reestablishes Science Council,2021,USA,"<p>President Biden reestablished the President's Council of Advisors on Science and Technology.</p>
On January 27, 2021, President Biden signed an Executive Order on Establishing President's Council of Advisors on Science and Technology, reestablishing a council that had been disbanded under the previous administration. The council will advise President Biden on policy that affects science, technology, and innovation.",https://climate.law.columbia.edu/content/president-biden-reestablishes-science-council,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Reverses Moves to Shrink National Monuments,2021,USA,"<p>President Biden rescinded proclamations that had shrunk the size of the Bears Ears National Monument and the Grand Staircase-Escalante National Monument.</p>
On January 20, 2021, President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis. Among other things, this executive order rescinds Proclamations 9681 and 9682, which reduced the size of the Bears Ears National Monument by 85% and Grand Staircase-Escalante National Monument by 50%, respectively. Opening these monuments to oil and gas development freed up vast reserves of oil and gas for extraction and eventual use—the Grand Staircase-Escalante National Monument previously contained an estimated 28 billion tons of coal, 136.5 billion gallons of oil, and 2.6-10.5 trillion cubic feet of natural gas.",https://climate.law.columbia.edu/content/president-biden-reverses-moves-shrink-national-monuments,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Blocks Keystone XL Pipeline,2021,USA,"<p>President Biden rescinded a key permit for the Keystone XL Pipeline.</p>
On January 20, 2021, President Biden signed an Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis. Among other things, this executive order rescinds the March 29, 2019 Presidential Permit for the Keystone XL Pipeline.",https://climate.law.columbia.edu/content/president-biden-blocks-keystone-xl-pipeline,National,Executive Order,White House,Climate-Reregulation-Tracker
USDA Pauses Activity in Roadless Areas,2021,USA,"<p>The Biden Administration paused activity in areas covered by the Roadless Rule.</p>
On February 1, 2021, the Biden administration put a temporary stop to road construction and logging in roadless areas of national forests while officials decide whether the work is consistent with environmental and climate policy goals. In a memorandum to the Forest Service, the USDA explained that roadless-area proposals and other pending decisions must be elevated to higher levels at USDA for review by February 12. The directive could affect or reverse the decision by the previous administration to exempt the Tongass National Forest from the 2001 Roadless Area Conservation Rule, which prohibits tree harvest and road construction within certain protected areas.  The Tongass is the largest national forest in the United States, and is thought to play a significant role in storing carbon. ",https://climate.law.columbia.edu/content/usda-pauses-activity-roadless-areas,National,Agency Memorandum,USDA,Climate-Reregulation-Tracker
Interior Delays Rollback of Royalties Rule,2021,USA,"<p>The Department of Interior delayed and began reconsidering an action that the previous administrative took to roll requirements for fossil fuel royalties.</p>
On January 15, 2021, the Office of Natural Resources Revenue (ONRR) in the Department of Interior finalized revisions to the 2016 Coal, Oil, and Gas Valuation Rule. The 2016 Valuation Rule was issued to boost revenue for taxpayers and states by changing how energy companies value sales of coal, oil and gas extracted from federal and tribal land. The revisions were scheduled to come into effect on February 16, 2021.

On February 12, under the new administration, ONRR delayed the effective date of the rule until April 16, 2021. ONRR acted pursuant to a January 20 memorandum titled “Regulatory Freeze Pending Review,” which instructs agencies to delay and reconsider rules issued by the previous administration that have not yet become effective. ONRR also invited the public to submit comment on any issue of fact, law, or policy raised by the 2020 Rule. Comments will be accepted through March 15, 2021.",https://climate.law.columbia.edu/content/interior-delays-rollback-royalties-rule,National,"Final rule,request for comments","Interior,ONRR",Climate-Reregulation-Tracker
CEQ Rescinds Trump-Era GHG Guidance,2021,USA,"<p>The Council on Environmental Quality rescinded draft guidance on greenhouse gas emissions that the previous administration had issued.</p>
On February 18, 2021, the Council on Environmental Quality (CEQ) withdrew draft guidance on greenhouse gases.

On March 31, 2016, CEQ issued guidance to help agencies account for greenhouse gases in conducting environmental impact review under the National Environmental Policy Act. On April 5, 2017, CEQ withdrew this guidance pursuant to President Trump's Executive Order on “Promoting Energy Independence and Economic Growth,"" and on June 26, 2019, CEQ proposed new draft guidance.

On January 20, 2021, President Biden signed an executive order titled “Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis,” which directs CEQ to rescind the 2019 draft greenhouse guidance and review, revise, and update its 2016 greenhouse gas guidance. Today's action rescinds the 2019 draft guidance and clarifies that CEQ will separately review the 2016 guidance.

 

 ",https://climate.law.columbia.edu/content/ceq-rescinds-trump-era-ghg-guidance,National,Guidance,CEQ,Climate-Reregulation-Tracker
DOE Announces Reregulation Agenda,2021,USA,"<p>DOE provided a list of deregulatory actions it is considering reversing.</p>
On February 19, 2021, the Department of Energy (DOE) sent the Office of Management and Budget a memorandum with a list of rules under review pursuant to President Biden's Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis. The executive order directs agencies to consider suspending, revising, or rescinding certain rules issued by the previous administration. The DOE's memorandum lists thirteen rules that the previous administration issued to weaken energy efficiency standards, including rules establishing new appliances classes and amending the processes for establishing energy efficiency standards.",https://climate.law.columbia.edu/content/doe-announces-reregulation-agenda,National,Memorandum,DOE,Climate-Reregulation-Tracker
"President Biden Orders Review of Renewable Energy, EV Supply Chains",2021,USA,"<p>President Biden signed an executive order of supply chains for materials used in renewable energy and electric vehicles.</p>
On February 24, 2021, President Biden signed an executive order titled ""American's Supply Chains,"" calling for a review of the state of domestic supplies of batteries, key battery minerals and other equipment used in electric cars, in addition to minerals used in wind turbines and other renewable energy facilities.",https://climate.law.columbia.edu/content/president-biden-orders-review-renewable-energy-ev-supply-chains,National,Executive Order,White House,Climate-Reregulation-Tracker
Biden Administration Revamps Social Cost of Carbon,2021,USA,"<p>The Biden Administration moved towards revamping and raising the social cost of carbon, which will alter the way that climate impacts are accounted for in federal decision-making.</p>
On February 26, 2021, the Biden Administration stated that it would revamp the way that federal agencies calculate the costs of climate change impacts. The ultimate figure that the administration uses for the social cost of carbon will determine the way that climate impacts are accounted for in federal decision-making, and could make it more difficult to justify approving fossil fuel infrastructure and other projects that contribute to climate change. This reverses the previous administration's position of downplaying the costs of climate change.

The Interagency Working Group — co-chaired by the Office of Science and Technology Policy, Office of Management and Budget, and Council of Economic Advisers — announced in a technical support document as an interim measure while the administration reaches a new figure, it is replacing the previous administration’s estimates with the estimates developed prior to 2017, adjusted for inflation, amount to $51 per ton of carbon dioxide.",https://climate.law.columbia.edu/content/biden-administration-revamps-social-cost-carbon,National,White House Announcement,White House,Climate-Reregulation-Tracker
DOD Creates Climate Working Group,2021,USA,"<p>The Department of Defense established a Climate Working Group.</p>
On March 9, 2021, Secretary of Defense Lloyd Austin sent a memorandum to Senior Pentagon Leadership to direct the establishment of the Department of Defense (DOD) Climate Working Group. The Working Group will coordinate DOD responses to climate and energy-related directives and track implementation of climate and energy-related actions and progress against future goals.",https://climate.law.columbia.edu/content/dod-creates-climate-working-group,National,Agency Memorandum,DOD,Climate-Reregulation-Tracker
USDA Considers Climate-Smart Program Changes,2021,USA,"<p>USDA requested public comment on potential climate-friendly programmatic changes.</p>
On January 27, 2021, President Biden signed an Executive Order on Tackling the Climate Crisis at Home and Abroad, which laid out a series of actions for federal agencies to take regarding climate change mitigation and resilience, including directing the Secretary of Agriculture to collect stakeholder input on a climate-smart agriculture and forestry strategy.

On March 16, 2021, in response to the Executive Order, the Department of Agriculture (USDA) published a request for public comment on its climate strategy. USDA specifically seeks comments on developing ""climate-smart agriculture and forestry practices and systems.""

Comments will be accepted through April 29, 2021.",https://climate.law.columbia.edu/content/usda-considers-climate-smart-program-changes,National,Request for Public Comment,USDA,Climate-Reregulation-Tracker
DOE Lowers Barriers to New Energy Efficiency Standards ,2021,USA,"<p>DOE proposed reversing the previous administration's efforts to create hurdles in setting energy efficiency standards.</p>
On April 1, 2021, the Department of Energy (DOE) published a notice of proposed rulemaking and request for comment that proposed undoing revisions that the previous administration had made to the process rule. The DOE's process rule governs the process of developing energy conservation standards for appliances such as dishwashers and refrigerators.

On January 16, 2020, DOE finalized amendments to the process rule that established a new threshold for the amount of energy conservation required to trigger the process of updating standards that is likely to result in fewer updates in the future. The revisions also require DOE to codify private sector consensus standards for test procedures. The April 1, 2021 notice proposes reversing these and other amendments.

Comments will be accepted until May 16, 2021.",https://climate.law.columbia.edu/content/doe-lowers-barriers-new-energy-efficiency-standards,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
DOI Revokes Pro-Fossil Orders,2021,USA,"<p>The Secretary of the Interior revoked orders issued by her predecessors to promote fossil fuel extraction on federal lands.</p>
On April 16, 2021, Secretary of Interior Deb Haaland issued Secretary's Order No. 3398, ""Revocation of Secretary’s Orders Inconsistent with Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis."" The order revokes secretary's order that are inconsistent with the executive order that President Biden signed on his first day, including a number of orders to promote fossil fuel extraction on federal lands and in federal waters such as an order lifting the moratorium on coal leasing an an order to implement President Trump's goal of promoting domestic production and use of fossil fuels.",https://climate.law.columbia.edu/content/doi-revokes-pro-fossil-orders,National,Secretary's Order,DOI,Climate-Reregulation-Tracker
DOI Order Prioritizes Climate and Transparency ,2021,USA,"<p>The Secretary of the Interior issued an order that prioritizes climate change, transparency, and integrity in policymaking.</p>
On April 16, 2021, Secretary of the Interior Deb Haaland issued a Secretary's Order establishing a ""Department-Wide Approach to the Climate Crisis and Restoring Transparency and Integrity to the Decision-Making Process."" Following President Biden's issuance of two climate change executive orders in his first week, this order creates a Climate Task Force at the Department of the Interior to develop a strategy to reduce climate pollution, improve adaptation and resilience, address environmental injustice, protect public health, and conserve federal lands. The Climate Task Force's mission includes supporting the use of the best evaluate science to evaluate greenhouse gas emissions and climate change impacts of federal land use, reviewing and reconsidering federal oil and gas leasing practices, and prioritizing and accelerating the permitting and environmental review of renewable energy projects including associated transmission. The order also instructs the Department not to implement the new environmental assessment rules issued by the Trump administration.",https://climate.law.columbia.edu/content/doi-order-prioritizes-climate-and-transparency,National,Secretary's Order,DOI,Climate-Reregulation-Tracker
SEC Creates Climate Task Force,2021,USA,"<p>The Securities and Exchange Commission created a task force to police companies' climate risk disclosures.</p>
On March 4, 2021, the Securities and Exchange Commission announced the creation of a Climate and ESG Task Force in the Division of Enforcement, which will be responsible for identifying any material gaps or misstatements in issuers’ disclosure of climate risks under existing rules.",https://climate.law.columbia.edu/content/sec-creates-climate-task-force,National,Announcement,SEC,Climate-Reregulation-Tracker
NHTSA Proposal Would Restore State Auto Emissions Authority,2021,USA,"<p>The National Highway Traffic Safety Administration proposed revoking a rule that prevents states from regulating greenhouse gas emissions from cars.</p>
In September 2019, the National Highway Traffic Safety Administration (NHTSA) and Environmental Protection Agency (EPA) finalized the the Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule Part One: One National Program. In the SAFE Rule Part One, EPA revoked California's authority to set its own greenhouse gas emission standards and zero-emission vehicle mandate under the Clean Air Act. One basis for EPA's action was a new rule by NHTSA interpreting its authority to set fuel efficiency standards as preempting states' authority to regulate greenhouse gas emissions from cars.

On April 22, 2021, NHTSA proposed repealing that rule. NHTSA's action sets the stage for EPA to restore California's authority to set its own more climate-protective auto emission standards.",https://climate.law.columbia.edu/content/nhtsa-proposal-would-restore-state-auto-emissions-authority,National,Notice of Proposed Rulemaking,NHTSA,Climate-Reregulation-Tracker
US Pledges to Halve GHGs By 2030 ,2021,USA,"<p>President Biden set a 2030 target of reducing U.S. greenhouse gas emissions by 50-52% as part of the United States' Nationally Determined Contribution under the Paris Agreement.</p>
On April 22, 2021, President Biden convened an international Leaders Summit on Climate and announced that the United States would aim to reduce greenhouse gas emissions 50-52% by 2030 as part of its Nationally Determined Contribution to the Paris Agreement climate goals.",https://climate.law.columbia.edu/content/us-pledges-halve-ghgs-2030,National,International Commitment,White House,Climate-Reregulation-Tracker
US Publishes Climate Finance Plan,2021,USA,"<p>The United States issued an international Climate Finance Plan.</p>
On April 22, 2021, President Biden convened an international Leaders Summit on Climate and released a Climate Finance Plan to double, by 2024, annual public climate finance to developing countries relative to the average level during the second half of the Obama-Biden Administration (FY 2013-2016). As part of this goal, the United States also plans to triple adaptation finance by 2024. ",https://climate.law.columbia.edu/content/us-publishes-climate-finance-plan,National,International Commitment,White House,Climate-Reregulation-Tracker
EPA Moves to Restore California's Clean Car Authority,2021,USA,"<p>EPA moved towards restoring California's authority to set its own greenhouse gas standards and zero-emission vehicle mandate for motor vehicles.</p>
In September 2019, the National Highway Traffic Safety Administration (NHTSA) and Environmental Protection Agency (EPA) finalized the the Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule Part One: One National Program. In the SAFE Rule Part One, EPA revoked California's authority to set its own greenhouse gas emission standards and zero-emission vehicle mandate under the Clean Air Act.

On April 26, 2021 EPA announced that it was reconsidering the withdrawal of California's preemption waiver and requested comments. EPA will accept comments until July 6 and will hold a virtual hearing on June 2. More information is available here.",https://climate.law.columbia.edu/content/epa-moves-restore-californias-clean-car-authority,National,Notice of Opportunity for Public Hearing and Comment,EPA,Climate-Reregulation-Tracker
EPA Proposes Phasedown of Climate Super-Pollutant,2021,USA,"<p>EPA proposed a rule to phase down<strong> </strong>the powerful greenhouse gases hydrofluorocarbons.</p>
On May 3, 2021, the Environmental Protection Agency (EPA) proposed a rule to create an allowance trading program to phase down the production and consumption of hydrofluorocarbons (HFCs). HFCs became widely used in air-conditioning and refrigeration equipment as substitutes for ozone-depleting substances, but they are powerful greenhouse gases. The HFC rule was proposed pursuant to the American Innovation and Manufacturing Act, which was enacted in December 2020.",https://climate.law.columbia.edu/content/epa-proposes-phasedown-climate-super-pollutant,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
Senate Moves to Repeal Trump Methane Rule,2021,USA,"<p>The Senate passed a resolution to repeal the Trump administration's rollback of methane controls on the oil and natural gas sector.</p>
On April 28, 2021 the Senate passed a resolution to repeal the Environmental Protection Agency's rollback of new source performance standards for methane emissions from the oil and gas sector. The resolution was passed under the Congressional Review Act, which allows the House and Senate to nullify any recently finalized federal regulation by a simple majority vote in both chambers (subject to presidential approval).",https://climate.law.columbia.edu/content/senate-moves-repeal-trump-methane-rule,National,Congressional Action,EPA,Climate-Reregulation-Tracker
Conservation Plan Submitted to National Climate Task Force,2021,USA,"<p>The Departments of Interior, Agriculture and Commerce and the Council on Environmental Quality delivered a preliminary report to the National Climate Task Force recommending a ten-year national conservation campaign.</p>
On May 6, 2021, the Departments of Interior, Agriculture and Commerce and the Council on Environmental Quality delivered a preliminary report to the National Climate Task Force recommending a ten-year national conservation campaign. The report was written pursuant to President Biden's January 27 Executive Order on Tackling the Climate Crisis at Home and Abroad, which directed the four agencies to deliver a plan to conserve at least 30% of the nation's lands and waters by 2030. The report articulates eight ""principles for a locally led effort to conserve and restore American the Beautiful,"" which emphasize support to local conservation efforts, ensuring that conservation benefits are equally distributed and reach communities that historically have lacked access to open space, and honoring tribal sovereignty. The report recommends that the government establish an interagency working group of experts to collect baseline information on conservation and report annually on the government's progress.",https://climate.law.columbia.edu/content/conservation-plan-submitted-national-climate-task-force,National,Report,"DOI,USDA,CEQ,DOC",Climate-Reregulation-Tracker
EPA Rescinds Cost-Benefit Analysis Overhaul ,2021,USA,"<p>EPA rescinded the previous administration's overhaul to cost-benefit analysis. The rescinded rule could have constrained the agency from considering the full benefits of environmental regulations.</p>
On December 9, 2020, the EPA finalized a rule to create standard practices for analyzing new regulations' costs and benefits under the Clean Air Act. The rule could have been used to limit the agency's consideration of co-benefits when developing and justifying new regulations. This could constrain the agency's ability to consider climate regulations' ancillary benefits, such as reductions in conventional pollutants like soot. On May 13, 2021, EPA rescinded the rule and requested public comments.",https://climate.law.columbia.edu/content/epa-rescinds-cost-benefit-analysis-overhaul,National,"Interim Rule,Requests for Comments",EPA,Climate-Reregulation-Tracker
EPA Issues Plan for Solid Waste Emissions,2021,USA,"<p>EPA issued a federal plan for existing municipal solid waste landfills operated by any state, tribe or locale that has not submitted a satisfactory plan to reduce emissions of landfill gas in accordance with 2016 guidelines.</p>
On May 10, 2021, the Environmental Protection Agency issued the final federal plan for existing municipal solid waste landfills operated by any state, tribe or locale that has not submitted a satisfactory plan to reduce emissions of landfill gas in accordance with the Municipal Solid Waste Landfills Emission Guidelines that were issued in 2016. Landfills are a major source of methane, a powerful greenhouse gas.",https://climate.law.columbia.edu/content/epa-issues-plan-solid-waste-emissions,National,Final rule,EPA,Climate-Reregulation-Tracker
Biden Administration Announces Effort to Electrify Federal Buildings,2021,USA,"<p>The Biden administration announced new federal investments in building energy efficiency and electrification.</p>
On May 17, 2021, the Biden administration announced a multi-pronged effort to advance efficiency and electrification in federal government buildings. The Council on Environmental Quality is launching an interagency federal sustainability effort with the General Services Administration, Department of Energy, and the Environmental Protection Agency to develop the first-ever building performance standards (BPS) for the federal government. The BPS will establish metrics, targets, and tracking methods to reach federal carbon emissions goals. The administration also announced a number of public-private partnerships, such as a low-carbon buildings pilot project and a $30 million investment by the Department of Energy in job training for construction, retrofitting, and building electrification, as well as new ENERGY STAR standards to advance heat pump technology and fast chargers for electric vehicles.",https://climate.law.columbia.edu/content/biden-administration-announces-effort-electrify-federal-buildings,National,White House Announcement,"DOE,GSA,EPA,CEQ",Climate-Reregulation-Tracker
Executive Order Launches Action on Financial Risks,2021,USA,"<p>The president signed an executive order on climate-related financial risk.</p>
On May 20, 2021, the president signed an Executive Order on Climate-Related Financial Risk. The order directs the Director of the National Economic Council and the National Climate Advisor to develop, within 120 days, a government-wide strategy on measuring, assessing mitigating and disclosing climate-related financial risks to government programs; financing needs associated with achieving net-zero greenhouse gas emissions by 2050; and areas in which private and public investments can complement each other to meet those needs. The order also directs the Treasury Secretary, as the Chair of the Financial Stability Oversight Council, to work with Council members to issue a report within 180 days on efforts to integrate consideration of climate-related financial risk into the policies and programs of the agencies that sit on the Council. The order further directs the Labor Secretary to report within 180 days on efforts to protect life savings and pensions from climate-related financial risks, and launches efforts to incorporate climate-risk considerations into federal lending, underwriting, and procurement.",https://climate.law.columbia.edu/content/executive-order-launches-action-financial-risks,National,Executive Order,White House,Climate-Reregulation-Tracker
President Biden Reinstates Executive Order on Flood Risk Management,2021,USA,"<p>President Biden reinstated an executive order on federal flood risk management.</p>
On May 20, 2021, the president signed an Executive Order on Climate-Related Financial Risk. Among other things, the order reinstates Executive Order 13690: Establishing a Federal Flood Risk Management Standard and a Process for Further Soliciting and Considering Stakeholder Input, which was aimed at ensuring that federal investments located in or near floodplains will be resilient in the face of climate change. Executive Order 1390 was signed by President Obama and rescinded by President Trump.",https://climate.law.columbia.edu/content/president-biden-reinstates-executive-order-flood-risk-management,National,Executive Order,White House,Climate-Reregulation-Tracker
